(0, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 110, 14, 'WALL exit=139')
(1, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(2, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(3, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(4, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(5, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(6, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(7, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'WALL exit=139')
(8, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'WALL exit=139')
(9, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_36', 'c_6', 'c_7', 'c_8', 'c_9'], 112, 13, 'WALL exit=139')
(10, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(11, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(12, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(13, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(14, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(15, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
(16, ['c_4', 'c_5'], ['c_3'], ['c_11', 'c_12', 'c_13', 'c_15', 'c_16', 'c_17', 'c_20', 'c_21', 'c_22', 'c_25', 'c_26', 'c_27', 'c_3', 'c_6', 'c_7', 'c_8', 'c_9'], 111, 14, 'EMPTY [1]')
