F,g,calibrated,d,p,kernel_dim,depth,status,indep_check
Fa,u^0v^1,1,10,999983,50,14,survived,PASS
Fa,u^0v^2,1,10,999983,50,14,survived,PASS
Fa,u^0v^3,1,10,999983,50,14,survived,PASS
Fa,u^0v^4,1,10,999983,50,14,survived,PASS
Fa,u^0v^5,1,10,999983,50,14,survived,PASS
Fa,u^1v^0,1,10,999983,50,14,survived,PASS
Fa,u^1v^1,1,10,999983,50,14,survived,PASS
Fa,u^1v^2,0,10,999983,50,6,obstructed@7:degree-overflow,
Fa,u^1v^3,0,10,999983,50,3,obstructed@4:degree-overflow,
Fa,u^1v^4,0,10,999983,50,2,obstructed@3:degree-overflow,
Fa,u^2v^0,1,10,999983,50,14,survived,PASS
Fa,u^2v^1,0,10,999983,50,3,obstructed@4:degree-overflow,
Fa,u^2v^2,0,10,999983,50,2,obstructed@3:degree-overflow,
Fa,u^2v^3,0,10,999983,50,0,direction-exceeds-cap,
Fa,u^3v^0,1,10,999983,50,14,survived,PASS
Fa,u^3v^1,0,10,999983,50,0,direction-exceeds-cap,
Fa,u^3v^2,0,10,999983,50,0,direction-exceeds-cap,
Fa,u^4v^0,1,10,999983,50,0,direction-exceeds-cap,
Fa,u^4v^1,0,10,999983,50,0,direction-exceeds-cap,
Fa,u^5v^0,1,10,999983,50,0,direction-exceeds-cap,
Fa,u^0v^1,1,14,999983,96,14,survived,PASS
Fa,u^0v^2,1,14,999983,96,14,survived,PASS
Fa,u^0v^3,1,14,999983,96,14,survived,PASS
Fa,u^0v^4,1,14,999983,96,14,survived,PASS
Fa,u^0v^5,1,14,999983,96,14,survived,PASS
Fa,u^1v^0,1,14,999983,96,14,survived,PASS
Fa,u^1v^1,1,14,999983,96,14,survived,PASS
Fa,u^1v^2,0,14,999983,96,8,obstructed@9:degree-overflow,PASS
Fa,u^1v^3,0,14,999983,96,4,obstructed@5:degree-overflow,
Fa,u^1v^4,0,14,999983,96,2,obstructed@3:degree-overflow,
Fa,u^2v^0,1,14,999983,96,14,survived,PASS
Fa,u^2v^1,0,14,999983,96,4,obstructed@5:degree-overflow,
Fa,u^2v^2,0,14,999983,96,2,obstructed@3:degree-overflow,
Fa,u^2v^3,0,14,999983,96,2,obstructed@3:degree-overflow,
Fa,u^3v^0,1,14,999983,96,14,survived,PASS
Fa,u^3v^1,0,14,999983,96,2,obstructed@3:degree-overflow,
Fa,u^3v^2,0,14,999983,96,1,obstructed@2:degree-overflow,
Fa,u^4v^0,1,14,999983,96,14,survived,PASS
Fa,u^4v^1,0,14,999983,96,0,direction-exceeds-cap,
Fa,u^5v^0,1,14,999983,96,0,direction-exceeds-cap,
Fa,u^0v^1,1,18,999983,158,14,survived,PASS
Fa,u^0v^2,1,18,999983,158,14,survived,PASS
Fa,u^0v^3,1,18,999983,158,14,survived,PASS
Fa,u^0v^4,1,18,999983,158,14,survived,PASS
Fa,u^0v^5,1,18,999983,158,14,survived,PASS
Fa,u^1v^0,1,18,999983,158,14,survived,PASS
Fa,u^1v^1,1,18,999983,158,14,survived,PASS
Fa,u^1v^2,0,18,999983,158,10,obstructed@11:degree-overflow,PASS
Fa,u^1v^3,0,18,999983,158,5,obstructed@6:degree-overflow,
Fa,u^1v^4,0,18,999983,158,3,obstructed@4:degree-overflow,
Fa,u^2v^0,1,18,999983,158,14,survived,PASS
Fa,u^2v^1,0,18,999983,158,5,obstructed@6:degree-overflow,
Fa,u^2v^2,0,18,999983,158,3,obstructed@4:degree-overflow,
Fa,u^2v^3,0,18,999983,158,2,obstructed@3:degree-overflow,
Fa,u^3v^0,1,18,999983,158,14,survived,PASS
Fa,u^3v^1,0,18,999983,158,2,obstructed@3:degree-overflow,
Fa,u^3v^2,0,18,999983,158,2,obstructed@3:degree-overflow,
Fa,u^4v^0,1,18,999983,158,14,survived,PASS
Fa,u^4v^1,0,18,999983,158,1,obstructed@2:degree-overflow,
Fa,u^5v^0,1,18,999983,158,14,survived,PASS
Fb,u^0v^1,1,14,999983,28,14,survived,PASS
Fb,u^0v^2,1,14,999983,28,14,survived,PASS
Fb,u^0v^3,1,14,999983,28,0,direction-exceeds-cap,
Fb,u^0v^4,1,14,999983,28,0,direction-exceeds-cap,
Fb,u^0v^5,1,14,999983,28,0,direction-exceeds-cap,
Fb,u^1v^0,1,14,999983,28,14,survived,PASS
Fb,u^1v^1,1,14,999983,28,14,survived,PASS
Fb,u^1v^2,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^1v^3,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^1v^4,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^2v^0,1,14,999983,28,14,survived,PASS
Fb,u^2v^1,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^2v^2,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^2v^3,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^3v^0,1,14,999983,28,14,survived,PASS
Fb,u^3v^1,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^3v^2,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^4v^0,1,14,999983,28,14,survived,PASS
Fb,u^4v^1,0,14,999983,28,0,direction-exceeds-cap,
Fb,u^5v^0,1,14,999983,28,0,direction-exceeds-cap,
Fb,u^0v^1,1,18,999983,60,14,survived,PASS
Fb,u^0v^2,1,18,999983,60,14,survived,PASS
Fb,u^0v^3,1,18,999983,60,0,direction-exceeds-cap,
Fb,u^0v^4,1,18,999983,60,0,direction-exceeds-cap,
Fb,u^0v^5,1,18,999983,60,0,direction-exceeds-cap,
Fb,u^1v^0,1,18,999983,60,14,survived,PASS
Fb,u^1v^1,1,18,999983,60,14,survived,PASS
Fb,u^1v^2,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^1v^3,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^1v^4,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^2v^0,1,18,999983,60,14,survived,PASS
Fb,u^2v^1,0,18,999983,60,6,obstructed@7:inconsistent,
Fb,u^2v^2,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^2v^3,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^3v^0,1,18,999983,60,14,survived,PASS
Fb,u^3v^1,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^3v^2,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^4v^0,1,18,999983,60,14,survived,PASS
Fb,u^4v^1,0,18,999983,60,0,direction-exceeds-cap,
Fb,u^5v^0,1,18,999983,60,14,survived,PASS
Fc,u^0v^1,1,10,999983,37,14,survived,PASS
