F,g,calibrated,d,p,kernel_dim,depth,status,indep_check
Fa,u^0v^1,1,22,999983,236,16,survived,PASS
Fa,u^0v^2,1,22,999983,236,16,survived,PASS
Fa,u^0v^3,1,22,999983,236,16,survived,PASS
Fa,u^0v^4,1,22,999983,236,16,survived,PASS
Fa,u^0v^5,1,22,999983,236,16,survived,PASS
Fa,u^0v^6,1,22,999983,236,16,survived,PASS
Fa,u^1v^0,1,22,999983,236,16,survived,PASS
Fa,u^1v^1,1,22,999983,236,16,survived,PASS
Fa,u^1v^2,0,22,999983,236,12,obstructed@13:degree-overflow,PASS
Fa,u^1v^3,0,22,999983,236,6,obstructed@7:degree-overflow,
Fa,u^1v^4,0,22,999983,236,4,obstructed@5:degree-overflow,
Fa,u^1v^5,0,22,999983,236,3,obstructed@4:degree-overflow,
Fa,u^2v^0,1,22,999983,236,16,survived,PASS
Fa,u^2v^1,0,22,999983,236,6,obstructed@7:degree-overflow,
Fa,u^2v^2,0,22,999983,236,4,obstructed@5:degree-overflow,
Fa,u^2v^3,0,22,999983,236,3,obstructed@4:degree-overflow,
Fa,u^2v^4,0,22,999983,236,2,obstructed@3:degree-overflow,
Fa,u^3v^0,1,22,999983,236,16,survived,PASS
Fa,u^3v^1,0,22,999983,236,3,obstructed@4:degree-overflow,
Fa,u^3v^2,0,22,999983,236,2,obstructed@3:degree-overflow,
Fa,u^3v^3,0,22,999983,236,2,obstructed@3:degree-overflow,
Fa,u^4v^0,1,22,999983,236,16,survived,PASS
Fa,u^4v^1,0,22,999983,236,2,obstructed@3:degree-overflow,
Fa,u^4v^2,0,22,999983,236,1,obstructed@2:degree-overflow,
Fa,u^5v^0,1,22,999983,236,16,survived,PASS
Fa,u^5v^1,0,22,999983,236,1,obstructed@2:degree-overflow,
Fa,u^6v^0,1,22,999983,236,16,survived,PASS
Fa,u^0v^1,1,26,999983,330,16,survived,PASS
Fa,u^0v^2,1,26,999983,330,16,survived,PASS
Fa,u^0v^3,1,26,999983,330,16,survived,PASS
Fa,u^0v^4,1,26,999983,330,16,survived,PASS
Fa,u^0v^5,1,26,999983,330,16,survived,PASS
Fa,u^0v^6,1,26,999983,330,16,survived,PASS
Fa,u^1v^0,1,26,999983,330,16,survived,PASS
Fa,u^1v^1,1,26,999983,330,16,survived,PASS
Fa,u^1v^2,0,26,999983,330,14,obstructed@15:degree-overflow,PASS
Fa,u^1v^3,0,26,999983,330,7,obstructed@8:degree-overflow,
Fa,u^1v^4,0,26,999983,330,4,obstructed@5:degree-overflow,
Fa,u^1v^5,0,26,999983,330,3,obstructed@4:degree-overflow,
Fa,u^2v^0,1,26,999983,330,16,survived,PASS
Fa,u^2v^1,0,26,999983,330,7,obstructed@8:degree-overflow,
Fa,u^2v^2,0,26,999983,330,4,obstructed@5:degree-overflow,
Fa,u^2v^3,0,26,999983,330,3,obstructed@4:degree-overflow,
Fa,u^2v^4,0,26,999983,330,2,obstructed@3:degree-overflow,
Fa,u^3v^0,1,26,999983,330,16,survived,PASS
Fa,u^3v^1,0,26,999983,330,3,obstructed@4:degree-overflow,
Fa,u^3v^2,0,26,999983,330,2,obstructed@3:degree-overflow,
Fa,u^3v^3,0,26,999983,330,2,obstructed@3:degree-overflow,
Fa,u^4v^0,1,26,999983,330,16,survived,PASS
Fa,u^4v^1,0,26,999983,330,2,obstructed@3:degree-overflow,
Fa,u^4v^2,0,26,999983,330,2,obstructed@3:degree-overflow,
Fa,u^5v^0,1,26,999983,330,16,survived,PASS
Fa,u^5v^1,0,26,999983,330,1,obstructed@2:degree-overflow,
Fa,u^6v^0,1,26,999983,330,16,survived,PASS
Fa,u^0v^1,1,30,999983,440,16,survived,PASS
Fa,u^0v^2,1,30,999983,440,16,survived,PASS
Fa,u^0v^3,1,30,999983,440,16,survived,PASS
Fa,u^0v^4,1,30,999983,440,16,survived,PASS
Fa,u^0v^5,1,30,999983,440,16,survived,PASS
Fa,u^0v^6,1,30,999983,440,16,survived,PASS
Fa,u^1v^0,1,30,999983,440,16,survived,PASS
Fa,u^1v^1,1,30,999983,440,16,survived,PASS
Fa,u^1v^2,0,30,999983,440,16,survived,PASS
Fa,u^1v^3,0,30,999983,440,8,obstructed@9:degree-overflow,
Fa,u^1v^4,0,30,999983,440,5,obstructed@6:degree-overflow,
Fa,u^1v^5,0,30,999983,440,4,obstructed@5:degree-overflow,
Fa,u^2v^0,1,30,999983,440,16,survived,PASS
Fa,u^2v^1,0,30,999983,440,8,obstructed@9:degree-overflow,
Fa,u^2v^2,0,30,999983,440,5,obstructed@6:degree-overflow,
Fa,u^2v^3,0,30,999983,440,4,obstructed@5:degree-overflow,
Fa,u^2v^4,0,30,999983,440,3,obstructed@4:degree-overflow,
Fa,u^3v^0,1,30,999983,440,16,survived,PASS
Fa,u^3v^1,0,30,999983,440,4,obstructed@5:degree-overflow,
Fa,u^3v^2,0,30,999983,440,3,obstructed@4:degree-overflow,
Fa,u^3v^3,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^4v^0,1,30,999983,440,16,survived,PASS
Fa,u^4v^1,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^4v^2,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^5v^0,1,30,999983,440,16,survived,PASS
Fa,u^5v^1,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^6v^0,1,30,999983,440,16,survived,PASS
Fb,u^0v^1,1,22,999983,108,16,survived,PASS
Fb,u^0v^2,1,22,999983,108,16,survived,PASS
Fb,u^0v^3,1,22,999983,108,0,direction-exceeds-cap,
Fb,u^0v^4,1,22,999983,108,0,direction-exceeds-cap,
Fb,u^0v^5,1,22,999983,108,0,direction-exceeds-cap,
Fb,u^0v^6,1,22,999983,108,0,direction-exceeds-cap,
Fb,u^1v^0,1,22,999983,108,16,survived,PASS
Fb,u^1v^1,1,22,999983,108,16,survived,PASS
Fb,u^1v^2,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^1v^3,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^1v^4,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^1v^5,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^2v^0,1,22,999983,108,16,survived,PASS
Fb,u^2v^1,0,22,999983,108,7,obstructed@8:inconsistent,
Fb,u^2v^2,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^2v^3,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^2v^4,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^3v^0,1,22,999983,108,16,survived,PASS
Fb,u^3v^1,0,22,999983,108,3,obstructed@4:inconsistent,
Fb,u^3v^2,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^3v^3,0,22,999983,108,0,direction-exceeds-cap,
Fb,u^4v^0,1,22,999983,108,16,survived,PASS
