F,g,calibrated,d,p,kernel_dim,depth,status,indep_check
Fid,u^0v^1,1,8,999983,54,16,survived,PASS
Fid,u^0v^2,1,8,999983,54,16,survived,PASS
Fid,u^0v^3,1,8,999983,54,16,survived,PASS
Fid,u^0v^4,1,8,999983,54,16,survived,PASS
Fid,u^0v^5,1,8,999983,54,16,survived,PASS
Fid,u^0v^6,1,8,999983,54,16,survived,PASS
Fid,u^0v^7,1,8,999983,54,16,survived,PASS
Fid,u^0v^8,1,8,999983,54,16,survived,PASS
Fid,u^1v^0,1,8,999983,54,16,survived,PASS
Fid,u^1v^1,1,8,999983,54,16,survived,PASS
Fid,u^1v^2,0,8,999983,54,7,obstructed@8:degree-overflow,
Fid,u^1v^3,0,8,999983,54,3,obstructed@4:degree-overflow,
Fid,u^1v^4,0,8,999983,54,2,obstructed@3:degree-overflow,
Fid,u^1v^5,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^1v^6,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^1v^7,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^2v^0,1,8,999983,54,16,survived,PASS
Fid,u^2v^1,0,8,999983,54,7,obstructed@8:degree-overflow,
Fid,u^2v^2,0,8,999983,54,3,obstructed@4:degree-overflow,
Fid,u^2v^3,0,8,999983,54,2,obstructed@3:degree-overflow,
Fid,u^2v^4,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^2v^5,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^2v^6,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^3v^0,1,8,999983,54,16,survived,PASS
Fid,u^3v^1,0,8,999983,54,3,obstructed@4:degree-overflow,
Fid,u^3v^2,0,8,999983,54,2,obstructed@3:degree-overflow,
Fid,u^3v^3,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^3v^4,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^3v^5,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^4v^0,1,8,999983,54,16,survived,PASS
Fid,u^4v^1,0,8,999983,54,2,obstructed@3:degree-overflow,
Fid,u^4v^2,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^4v^3,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^4v^4,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^5v^0,1,8,999983,54,16,survived,PASS
Fid,u^5v^1,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^5v^2,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^5v^3,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^6v^0,1,8,999983,54,16,survived,PASS
Fid,u^6v^1,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^6v^2,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^7v^0,1,8,999983,54,16,survived,PASS
Fid,u^7v^1,0,8,999983,54,1,obstructed@2:degree-overflow,
Fid,u^8v^0,1,8,999983,54,16,survived,PASS
Fid,u^0v^1,1,12,999983,104,16,survived,PASS
Fid,u^0v^2,1,12,999983,104,16,survived,PASS
Fid,u^0v^3,1,12,999983,104,16,survived,PASS
Fid,u^0v^4,1,12,999983,104,16,survived,PASS
Fid,u^0v^5,1,12,999983,104,16,survived,PASS
Fid,u^0v^6,1,12,999983,104,16,survived,PASS
Fid,u^0v^7,1,12,999983,104,16,survived,PASS
Fid,u^0v^8,1,12,999983,104,16,survived,PASS
Fid,u^1v^0,1,12,999983,104,16,survived,PASS
Fid,u^1v^1,1,12,999983,104,16,survived,PASS
Fid,u^1v^2,0,12,999983,104,11,obstructed@12:degree-overflow,PASS
Fid,u^1v^3,0,12,999983,104,5,obstructed@6:degree-overflow,
Fid,u^1v^4,0,12,999983,104,3,obstructed@4:degree-overflow,
Fid,u^1v^5,0,12,999983,104,2,obstructed@3:degree-overflow,
Fid,u^1v^6,0,12,999983,104,2,obstructed@3:degree-overflow,
Fid,u^1v^7,0,12,999983,104,1,obstructed@2:degree-overflow,
Fid,u^2v^0,1,12,999983,104,16,survived,PASS
Fid,u^2v^1,0,12,999983,104,11,obstructed@12:degree-overflow,PASS
Fid,u^2v^2,0,12,999983,104,5,obstructed@6:degree-overflow,
Fid,u^2v^3,0,12,999983,104,3,obstructed@4:degree-overflow,
Fid,u^2v^4,0,12,999983,104,2,obstructed@3:degree-overflow,
