F,g,calibrated,d,p,kernel_dim,depth,status,indep_check
Fa,u^0v^1,1,20,999983,195,48,survived,PASS
Fa,u^0v^2,1,20,999983,195,48,survived,PASS
Fa,u^0v^3,1,20,999983,195,48,survived,PASS
Fa,u^0v^4,1,20,999983,195,48,survived,PASS
Fa,u^0v^5,1,20,999983,195,48,survived,PASS
Fa,u^0v^6,1,20,999983,195,48,survived,PASS
Fa,u^1v^0,1,20,999983,195,48,survived,PASS
Fa,u^1v^1,1,20,999983,195,48,survived,PASS
Fa,u^1v^2,0,20,999983,195,11,obstructed@12:degree-overflow,
Fa,u^1v^3,0,20,999983,195,5,obstructed@6:degree-overflow,
Fa,u^1v^4,0,20,999983,195,3,obstructed@4:degree-overflow,
Fa,u^1v^5,0,20,999983,195,2,obstructed@3:degree-overflow,
Fa,u^2v^0,1,20,999983,195,48,survived,PASS
Fa,u^2v^1,0,20,999983,195,5,obstructed@6:degree-overflow,
Fa,u^2v^2,0,20,999983,195,3,obstructed@4:degree-overflow,
Fa,u^2v^3,0,20,999983,195,2,obstructed@3:degree-overflow,
Fa,u^2v^4,0,20,999983,195,2,obstructed@3:degree-overflow,
Fa,u^3v^0,1,20,999983,195,48,survived,PASS
Fa,u^3v^1,0,20,999983,195,2,obstructed@3:degree-overflow,
Fa,u^3v^2,0,20,999983,195,2,obstructed@3:degree-overflow,
Fa,u^3v^3,0,20,999983,195,1,obstructed@2:degree-overflow,
Fa,u^4v^0,1,20,999983,195,48,survived,PASS
Fa,u^4v^1,0,20,999983,195,1,obstructed@2:degree-overflow,
Fa,u^4v^2,0,20,999983,195,1,obstructed@2:degree-overflow,
Fa,u^5v^0,1,20,999983,195,48,survived,PASS
Fa,u^5v^1,0,20,999983,195,1,obstructed@2:degree-overflow,
Fa,u^6v^0,1,20,999983,195,48,survived,PASS
Fa,u^0v^1,1,30,999983,440,48,survived,PASS
Fa,u^0v^2,1,30,999983,440,48,survived,PASS
Fa,u^0v^3,1,30,999983,440,48,survived,PASS
Fa,u^0v^4,1,30,999983,440,48,survived,PASS
Fa,u^0v^5,1,30,999983,440,48,survived,PASS
Fa,u^0v^6,1,30,999983,440,48,survived,PASS
Fa,u^1v^0,1,30,999983,440,48,survived,PASS
Fa,u^1v^1,1,30,999983,440,48,survived,PASS
Fa,u^1v^2,0,30,999983,440,16,obstructed@17:degree-overflow,
Fa,u^1v^3,0,30,999983,440,8,obstructed@9:degree-overflow,
Fa,u^1v^4,0,30,999983,440,5,obstructed@6:degree-overflow,
Fa,u^1v^5,0,30,999983,440,4,obstructed@5:degree-overflow,
Fa,u^2v^0,1,30,999983,440,48,survived,PASS
Fa,u^2v^1,0,30,999983,440,8,obstructed@9:degree-overflow,
Fa,u^2v^2,0,30,999983,440,5,obstructed@6:degree-overflow,
Fa,u^2v^3,0,30,999983,440,4,obstructed@5:degree-overflow,
Fa,u^2v^4,0,30,999983,440,3,obstructed@4:degree-overflow,
Fa,u^3v^0,1,30,999983,440,48,survived,PASS
Fa,u^3v^1,0,30,999983,440,4,obstructed@5:degree-overflow,
Fa,u^3v^2,0,30,999983,440,3,obstructed@4:degree-overflow,
Fa,u^3v^3,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^4v^0,1,30,999983,440,48,survived,PASS
Fa,u^4v^1,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^4v^2,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^5v^0,1,30,999983,440,48,survived,PASS
Fa,u^5v^1,0,30,999983,440,2,obstructed@3:degree-overflow,
Fa,u^6v^0,1,30,999983,440,48,survived,PASS
Fb,u^0v^1,1,20,999983,82,48,survived,PASS
Fb,u^0v^2,1,20,999983,82,48,survived,PASS
Fb,u^0v^3,1,20,999983,82,0,direction-exceeds-cap,
Fb,u^0v^4,1,20,999983,82,0,direction-exceeds-cap,
Fb,u^0v^5,1,20,999983,82,0,direction-exceeds-cap,
Fb,u^0v^6,1,20,999983,82,0,direction-exceeds-cap,
Fb,u^1v^0,1,20,999983,82,48,survived,PASS
Fb,u^1v^1,1,20,999983,82,48,survived,PASS
Fb,u^1v^2,0,20,999983,82,0,direction-exceeds-cap,
Fb,u^1v^3,0,20,999983,82,0,direction-exceeds-cap,
Fb,u^1v^4,0,20,999983,82,0,direction-exceeds-cap,
Fb,u^1v^5,0,20,999983,82,0,direction-exceeds-cap,
Fb,u^2v^0,1,20,999983,82,48,survived,PASS
Fb,u^2v^1,0,20,999983,82,7,obstructed@8:degree-overflow,
Fb,u^2v^2,0,20,999983,82,0,direction-exceeds-cap,
Fb,u^2v^3,0,20,999983,82,0,direction-exceeds-cap,
