F,g,calibrated,d,p,kernel_dim,depth,status,indep_check
Fa,u^0v^1,1,36,999983,635,32,survived,PASS
Fa,u^0v^2,1,36,999983,635,32,survived,PASS
Fa,u^0v^3,1,36,999983,635,32,survived,PASS
Fa,u^0v^4,1,36,999983,635,32,survived,PASS
Fa,u^0v^5,1,36,999983,635,32,survived,PASS
Fa,u^0v^6,1,36,999983,635,32,survived,PASS
Fa,u^0v^7,1,36,999983,635,32,survived,PASS
Fa,u^0v^8,1,36,999983,635,32,survived,PASS
Fa,u^1v^0,1,36,999983,635,32,survived,PASS
Fa,u^1v^1,1,36,999983,635,32,survived,PASS
Fa,u^1v^2,0,36,999983,635,19,obstructed@20:degree-overflow,
Fa,u^1v^3,0,36,999983,635,9,obstructed@10:degree-overflow,
Fa,u^1v^4,0,36,999983,635,6,obstructed@7:degree-overflow,
Fa,u^1v^5,0,36,999983,635,4,obstructed@5:degree-overflow,
Fa,u^1v^6,0,36,999983,635,3,obstructed@4:degree-overflow,
Fa,u^1v^7,0,36,999983,635,3,obstructed@4:degree-overflow,
Fa,u^2v^0,1,36,999983,635,32,survived,PASS
Fa,u^2v^1,0,36,999983,635,9,obstructed@10:degree-overflow,
Fa,u^2v^2,0,36,999983,635,6,obstructed@7:degree-overflow,
Fa,u^2v^3,0,36,999983,635,4,obstructed@5:degree-overflow,
Fa,u^2v^4,0,36,999983,635,3,obstructed@4:degree-overflow,
Fa,u^2v^5,0,36,999983,635,3,obstructed@4:degree-overflow,
Fa,u^2v^6,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^3v^0,1,36,999983,635,32,survived,PASS
Fa,u^3v^1,0,36,999983,635,4,obstructed@5:degree-overflow,
Fa,u^3v^2,0,36,999983,635,3,obstructed@4:degree-overflow,
Fa,u^3v^3,0,36,999983,635,3,obstructed@4:degree-overflow,
Fa,u^3v^4,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^3v^5,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^4v^0,1,36,999983,635,32,survived,PASS
Fa,u^4v^1,0,36,999983,635,3,obstructed@4:degree-overflow,
Fa,u^4v^2,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^4v^3,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^4v^4,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^5v^0,1,36,999983,635,32,survived,PASS
Fa,u^5v^1,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^5v^2,0,36,999983,635,2,obstructed@3:degree-overflow,
Fa,u^5v^3,0,36,999983,635,1,obstructed@2:degree-overflow,
Fa,u^6v^0,1,36,999983,635,32,survived,PASS
Fa,u^6v^1,0,36,999983,635,1,obstructed@2:degree-overflow,
Fa,u^6v^2,0,36,999983,635,1,obstructed@2:degree-overflow,
Fa,u^7v^0,1,36,999983,635,32,survived,PASS
Fa,u^7v^1,0,36,999983,635,1,obstructed@2:degree-overflow,
Fa,u^8v^0,1,36,999983,635,32,survived,PASS
Fa,u^0v^1,1,42,999983,866,32,survived,PASS
Fa,u^0v^2,1,42,999983,866,32,survived,PASS
Fa,u^0v^3,1,42,999983,866,32,survived,PASS
Fa,u^0v^4,1,42,999983,866,32,survived,PASS
Fa,u^0v^5,1,42,999983,866,32,survived,PASS
Fa,u^0v^6,1,42,999983,866,32,survived,PASS
Fa,u^0v^7,1,42,999983,866,32,survived,PASS
Fa,u^0v^8,1,42,999983,866,32,survived,PASS
Fa,u^1v^0,1,42,999983,866,32,survived,PASS
Fa,u^1v^1,1,42,999983,866,32,survived,PASS
Fa,u^1v^2,0,42,999983,866,22,obstructed@23:degree-overflow,
Fa,u^1v^3,0,42,999983,866,11,obstructed@12:degree-overflow,
Fa,u^1v^4,0,42,999983,866,7,obstructed@8:degree-overflow,
Fa,u^1v^5,0,42,999983,866,5,obstructed@6:degree-overflow,
Fa,u^1v^6,0,42,999983,866,4,obstructed@5:degree-overflow,
Fa,u^1v^7,0,42,999983,866,3,obstructed@4:degree-overflow,
Fa,u^2v^0,1,42,999983,866,32,survived,PASS
Fa,u^2v^1,0,42,999983,866,11,obstructed@12:degree-overflow,
Fa,u^2v^2,0,42,999983,866,7,obstructed@8:degree-overflow,
Fa,u^2v^3,0,42,999983,866,5,obstructed@6:degree-overflow,
Fa,u^2v^4,0,42,999983,866,4,obstructed@5:degree-overflow,
Fa,u^2v^5,0,42,999983,866,3,obstructed@4:degree-overflow,
Fa,u^2v^6,0,42,999983,866,3,obstructed@4:degree-overflow,
Fa,u^3v^0,1,42,999983,866,32,survived,PASS
Fa,u^3v^1,0,42,999983,866,5,obstructed@6:degree-overflow,
Fa,u^3v^2,0,42,999983,866,4,obstructed@5:degree-overflow,
Fa,u^3v^3,0,42,999983,866,3,obstructed@4:degree-overflow,
Fa,u^3v^4,0,42,999983,866,3,obstructed@4:degree-overflow,
Fa,u^3v^5,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^4v^0,1,42,999983,866,32,survived,PASS
Fa,u^4v^1,0,42,999983,866,3,obstructed@4:degree-overflow,
Fa,u^4v^2,0,42,999983,866,3,obstructed@4:degree-overflow,
Fa,u^4v^3,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^4v^4,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^5v^0,1,42,999983,866,32,survived,PASS
Fa,u^5v^1,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^5v^2,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^5v^3,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^6v^0,1,42,999983,866,32,survived,PASS
Fa,u^6v^1,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^6v^2,0,42,999983,866,2,obstructed@3:degree-overflow,
Fa,u^7v^0,1,42,999983,866,32,survived,PASS
Fa,u^7v^1,0,42,999983,866,1,obstructed@2:degree-overflow,
Fa,u^8v^0,1,42,999983,866,32,survived,PASS
Fb,u^0v^1,1,36,999983,399,32,survived,PASS
Fb,u^0v^2,1,36,999983,399,32,survived,PASS
Fb,u^0v^3,1,36,999983,399,32,survived,PASS
Fb,u^0v^4,1,36,999983,399,32,survived,PASS
Fb,u^0v^5,1,36,999983,399,0,direction-exceeds-cap,
Fb,u^0v^6,1,36,999983,399,0,direction-exceeds-cap,
Fb,u^0v^7,1,36,999983,399,0,direction-exceeds-cap,
Fb,u^0v^8,1,36,999983,399,0,direction-exceeds-cap,
Fb,u^1v^0,1,36,999983,399,32,survived,PASS
Fb,u^1v^1,1,36,999983,399,32,survived,PASS
Fb,u^1v^2,0,36,999983,399,3,obstructed@4:degree-overflow,
Fb,u^1v^3,0,36,999983,399,1,obstructed@2:degree-overflow,
Fb,u^1v^4,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^1v^5,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^1v^6,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^1v^7,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^2v^0,1,36,999983,399,32,survived,PASS
Fb,u^2v^1,0,36,999983,399,11,obstructed@12:degree-overflow,
Fb,u^2v^2,0,36,999983,399,2,obstructed@3:degree-overflow,
Fb,u^2v^3,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^2v^4,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^2v^5,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^2v^6,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^3v^0,1,36,999983,399,32,survived,PASS
Fb,u^3v^1,0,36,999983,399,5,obstructed@6:degree-overflow,
Fb,u^3v^2,0,36,999983,399,2,obstructed@3:degree-overflow,
Fb,u^3v^3,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^3v^4,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^3v^5,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^4v^0,1,36,999983,399,32,survived,PASS
Fb,u^4v^1,0,36,999983,399,3,obstructed@4:degree-overflow,
Fb,u^4v^2,0,36,999983,399,1,obstructed@2:degree-overflow,
Fb,u^4v^3,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^4v^4,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^5v^0,1,36,999983,399,32,survived,PASS
Fb,u^5v^1,0,36,999983,399,2,obstructed@3:degree-overflow,
Fb,u^5v^2,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^5v^3,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^6v^0,1,36,999983,399,32,survived,PASS
Fb,u^6v^1,0,36,999983,399,2,obstructed@3:degree-overflow,
Fb,u^6v^2,0,36,999983,399,0,direction-exceeds-cap,
Fb,u^7v^0,1,36,999983,399,32,survived,PASS
Fb,u^7v^1,0,36,999983,399,1,obstructed@2:degree-overflow,
Fb,u^8v^0,1,36,999983,399,32,survived,PASS
Fb,u^0v^1,1,42,999983,582,32,survived,PASS
Fb,u^0v^2,1,42,999983,582,32,survived,PASS
Fb,u^0v^3,1,42,999983,582,32,survived,PASS
Fb,u^0v^4,1,42,999983,582,32,survived,PASS
Fb,u^0v^5,1,42,999983,582,0,direction-exceeds-cap,
Fb,u^0v^6,1,42,999983,582,0,direction-exceeds-cap,
Fb,u^0v^7,1,42,999983,582,0,direction-exceeds-cap,
Fb,u^0v^8,1,42,999983,582,0,direction-exceeds-cap,
Fb,u^1v^0,1,42,999983,582,32,survived,PASS
Fb,u^1v^1,1,42,999983,582,32,survived,PASS
Fb,u^1v^2,0,42,999983,582,4,obstructed@5:degree-overflow,
Fb,u^1v^3,0,42,999983,582,2,obstructed@3:degree-overflow,
Fb,u^1v^4,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^1v^5,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^1v^6,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^1v^7,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^2v^0,1,42,999983,582,32,survived,PASS
Fb,u^2v^1,0,42,999983,582,13,obstructed@14:degree-overflow,
Fb,u^2v^2,0,42,999983,582,3,obstructed@4:degree-overflow,
Fb,u^2v^3,0,42,999983,582,1,obstructed@2:degree-overflow,
Fb,u^2v^4,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^2v^5,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^2v^6,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^3v^0,1,42,999983,582,32,survived,PASS
Fb,u^3v^1,0,42,999983,582,6,obstructed@7:degree-overflow,
Fb,u^3v^2,0,42,999983,582,2,obstructed@3:degree-overflow,
Fb,u^3v^3,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^3v^4,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^3v^5,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^4v^0,1,42,999983,582,32,survived,PASS
Fb,u^4v^1,0,42,999983,582,4,obstructed@5:degree-overflow,
Fb,u^4v^2,0,42,999983,582,2,obstructed@3:degree-overflow,
Fb,u^4v^3,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^4v^4,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^5v^0,1,42,999983,582,32,survived,PASS
Fb,u^5v^1,0,42,999983,582,3,obstructed@4:degree-overflow,
Fb,u^5v^2,0,42,999983,582,1,obstructed@2:degree-overflow,
Fb,u^5v^3,0,42,999983,582,0,direction-exceeds-cap,
Fb,u^6v^0,1,42,999983,582,32,survived,PASS
