F,g,calibrated,d,p,kernel_dim,depth,status,indep_check
Fa,u^0v^1,1,8,999983,33,10,survived,PASS
Fa,u^0v^2,1,8,999983,33,10,survived,PASS
Fa,u^0v^3,1,8,999983,33,10,survived,PASS
Fa,u^1v^0,1,8,999983,33,10,survived,PASS
Fa,u^1v^1,1,8,999983,33,10,survived,PASS
Fa,u^1v^2,0,8,999983,33,5,obstructed@6:degree-overflow,
Fa,u^2v^0,1,8,999983,33,10,survived,PASS
Fa,u^2v^1,0,8,999983,33,2,obstructed@3:degree-overflow,
Fa,u^3v^0,1,8,999983,33,10,survived,PASS
Fa,u^0v^1,1,12,999983,71,10,survived,PASS
Fa,u^0v^2,1,12,999983,71,10,survived,PASS
Fa,u^0v^3,1,12,999983,71,10,survived,PASS
Fa,u^1v^0,1,12,999983,71,10,survived,PASS
Fa,u^1v^1,1,12,999983,71,10,survived,PASS
Fa,u^1v^2,0,12,999983,71,7,obstructed@8:degree-overflow,PASS
Fa,u^2v^0,1,12,999983,71,10,survived,PASS
Fa,u^2v^1,0,12,999983,71,3,obstructed@4:degree-overflow,
Fa,u^3v^0,1,12,999983,71,10,survived,PASS
