hash,arm,tag,deg,n_supp_P,has_linear_term,n_full_support,thin_k,n_unknowns,deg_Q_max,n_rows_nonzero,rank_A_p999983,rank_Ae_p999983,nullity_p999983,consistent_p999983,rank_A_p1000003,rank_Ae_p1000003,nullity_p1000003,consistent_p1000003,dual_prime_consistent,exact_status,deg_Q,div_ordered,secs
699b96c0fe5f,main,A_rand_sparse_lin,84,4,1,4508,2,1127,126,4355,1126,1127,1,0,1126,1127,1,0,0,not_attempted,-1,,38.18
797f6b36069b,main,A_rand_sparse_lin,84,5,1,3990,2,1000,126,4041,999,1000,1,0,999,1000,1,0,0,not_attempted,-1,,26.56
099afc5c42d1,main,A_rand_sparse_lin,84,7,1,2767,2,691,126,3911,690,691,1,0,690,691,1,0,0,not_attempted,-1,,9.38
f747ab00f390,main,A_rand_sparse_lin,84,5,1,4201,2,1079,126,4538,1078,1079,1,0,1078,1079,1,0,0,not_attempted,-1,,33.29
9566638235e6,main,A_rand_sparse_lin,84,7,1,5075,3,570,126,3906,569,570,1,0,569,570,1,0,0,not_attempted,-1,,5.52
185d7f7c71d3,main,A_rand_sparse_lin,84,5,1,6892,3,757,126,3695,756,757,1,0,756,757,1,0,0,not_attempted,-1,,11.49
cbd415d140ff,main,A_rand_sparse_lin,84,3,1,580,1,580,126,1486,578,579,2,0,578,579,2,0,0,not_attempted,-1,,5.01
38c53b75d0da,main,A_rand_sparse_lin,84,8,1,7157,3,820,126,5947,819,820,1,0,819,820,1,0,0,not_attempted,-1,,17.21
385f13e50a3a,main,B_rand_sparse_nolin,84,7,0,4302,2,1094,126,5139,1093,1094,1,0,1093,1094,1,0,0,not_attempted,-1,,48.19
316f4b37dba4,main,B_rand_sparse_nolin,84,5,0,4916,3,540,126,2518,539,540,1,0,539,540,1,0,0,not_attempted,-1,,5.57
af1760b24afd,main,B_rand_sparse_nolin,84,3,0,5085,3,554,126,1659,553,554,1,0,553,554,1,0,0,not_attempted,-1,,5.81
fe1269c53d44,main,B_rand_sparse_nolin,84,5,0,5342,3,596,126,2962,595,596,1,0,595,596,1,0,0,not_attempted,-1,,7.63
4d398b9004eb,main,C_struct_x,84,4,1,129,1,129,126,308,127,128,2,0,127,128,2,0,0,not_attempted,-1,,0.16
5bb447c59036,main,C_struct_x,84,4,1,116,1,116,126,259,114,115,2,0,114,115,2,0,0,not_attempted,-1,,0.15
c037fbc6dcbe,main,C_struct_x,84,3,1,113,1,113,126,232,111,112,2,0,111,112,2,0,0,not_attempted,-1,,0.13
e59fe6943045,main,C_struct_x,84,3,1,125,1,125,126,298,123,124,2,0,123,124,2,0,0,not_attempted,-1,,0.15
2dafb886aad1,main,C_struct_x,84,4,1,97,1,97,126,236,95,96,2,0,95,96,2,0,0,not_attempted,-1,,0.11
2d0d42277f10,main,C_struct_x,84,3,1,98,1,98,126,210,96,97,2,0,96,97,2,0,0,not_attempted,-1,,0.1
89432f328294,main,D_leadsq,84,8,1,7563,3,869,126,4559,868,869,1,0,868,869,1,0,0,not_attempted,-1,,23.33
a749e2c23fd8,main,D_leadsq,84,9,1,4026,2,1011,126,5633,1010,1011,1,0,1010,1011,1,0,0,not_attempted,-1,,38.38
83684eb8f17d,main,D_leadsq,84,5,1,1357,2,359,126,1470,358,359,1,0,358,359,1,0,0,not_attempted,-1,,1.63
82c9abfa7bc7,main,D_leadsq,84,9,1,4804,2,1200,126,5501,1199,1200,1,0,1199,1200,1,0,0,not_attempted,-1,,65.2
a9a6f0f10ec9,main,D_leadsq,84,6,1,7514,3,837,126,4629,836,837,1,0,836,837,1,0,0,not_attempted,-1,,20.54
aa425de60edc,main,D_leadsq,84,4,1,4993,3,567,126,2243,566,567,1,0,566,567,1,0,0,not_attempted,-1,,6.38
9af42f322b53,main,D_leadsq,84,6,1,4837,3,548,126,2558,547,548,1,0,547,548,1,0,0,not_attempted,-1,,5.65
d8f539e9cea7,main,D_leadsq,84,6,1,4636,2,1166,126,5031,1165,1166,1,0,1165,1166,1,0,0,not_attempted,-1,,59.15
efcb39ef94e7,main,E_leadcube,84,11,1,4613,2,1162,126,3743,1161,1162,1,0,1161,1162,1,0,0,not_attempted,-1,,59.06
843980fc5065,main,E_leadcube,84,5,1,2357,2,595,126,1879,594,595,1,0,594,595,1,0,0,not_attempted,-1,,7.2
89c3c75818a4,main,E_leadcube,84,11,1,1510,2,382,126,1861,381,382,1,0,381,382,1,0,0,not_attempted,-1,,2.33
1cfba17d6930,main,E_leadcube,84,13,1,3204,2,811,126,3974,810,811,1,0,810,811,1,0,0,not_attempted,-1,,19.35
bf55f033b818,main,E_leadcube,84,13,1,4700,2,1185,126,6164,1184,1185,1,0,1184,1185,1,0,0,not_attempted,-1,,57.13
5a108b477ba8,main,E_leadcube,84,13,1,4352,2,1093,126,5822,1092,1093,1,0,1092,1093,1,0,0,not_attempted,-1,,44.91
486338fbb7e7,main,A_rand_sparse_lin,96,4,1,2876,2,716,144,2662,715,716,1,0,715,716,1,0,0,not_attempted,-1,,10.86
d80afafb6271,main,A_rand_sparse_lin,96,6,1,7112,3,791,144,4195,790,791,1,0,790,791,1,0,0,not_attempted,-1,,14.58
b21310a4e428,main,A_rand_sparse_lin,96,3,1,10108,3,1132,144,3342,1131,1132,1,0,1131,1132,1,0,0,not_attempted,-1,,45.67
3a1d32b4bac2,main,A_rand_sparse_lin,96,4,1,10585,4,705,144,2382,704,705,1,0,704,705,1,0,0,not_attempted,-1,,11.37
25a2984a180b,main,A_rand_sparse_lin,96,7,1,8621,3,950,144,4737,949,950,1,0,949,950,1,0,0,not_attempted,-1,,27.92
624a9e7738c0,main,A_rand_sparse_lin,96,3,1,3662,2,917,144,2634,915,916,2,0,915,916,2,0,0,not_attempted,-1,,24.5
89ad60f0acd4,main,A_rand_sparse_lin,96,5,1,4304,2,1070,144,5159,1069,1070,1,0,1069,1070,1,0,0,not_attempted,-1,,41.25
d27981828585,main,A_rand_sparse_lin,96,8,1,4968,3,555,144,4424,554,555,1,0,554,555,1,0,0,not_attempted,-1,,6.26
5872c6761533,main,B_rand_sparse_nolin,96,6,0,7191,3,802,144,4434,801,802,1,0,801,802,1,0,0,not_attempted,-1,,18.45
6afdb2bc1bfa,main,B_rand_sparse_nolin,96,8,0,6042,3,672,144,4868,671,672,1,0,671,672,1,0,0,not_attempted,-1,,10.4
b4c1c7f3b1f0,main,B_rand_sparse_nolin,96,7,0,8984,3,1010,144,5200,1009,1010,1,0,1009,1010,1,0,0,not_attempted,-1,,33.5
c17a4a540eec,main,B_rand_sparse_nolin,96,5,0,4724,2,1179,144,4884,1178,1179,1,0,1178,1179,1,0,0,not_attempted,-1,,54.68
665e90e51d55,main,C_struct_x,96,3,1,125,1,125,144,282,123,124,2,0,123,124,2,0,0,not_attempted,-1,,0.18
0c061d633814,main,C_struct_x,96,3,1,123,1,123,144,171,121,122,2,0,121,122,2,0,0,not_attempted,-1,,0.12
963c989df902,main,C_struct_x,96,4,1,115,1,115,144,239,113,114,2,0,113,114,2,0,0,not_attempted,-1,,0.14
ec0ed60957ca,main,C_struct_x,96,4,1,125,1,125,144,267,123,124,2,0,123,124,2,0,0,not_attempted,-1,,0.17
b2977480eb31,main,C_struct_x,96,4,1,130,1,130,144,323,128,129,2,0,128,129,2,0,0,not_attempted,-1,,0.21
d2515bf96b3f,main,C_struct_x,96,3,1,119,1,119,144,273,117,118,2,0,117,118,2,0,0,not_attempted,-1,,0.15
c6e65bb28c47,main,D_leadsq,96,4,1,2910,2,734,144,2835,733,734,1,0,733,734,1,0,0,not_attempted,-1,,13.22
f75f2469aaf2,main,D_leadsq,96,6,1,5143,3,574,144,2952,573,574,1,0,573,574,1,0,0,not_attempted,-1,,7.02
b5cd46f02fed,main,D_leadsq,96,8,1,6207,3,695,144,3735,694,695,1,0,694,695,1,0,0,not_attempted,-1,,11.65
6dd48746b4a4,main,D_leadsq,96,4,1,972,1,972,144,2584,970,971,2,0,970,971,2,0,0,not_attempted,-1,,29.65
5a87f4fb735b,main,D_leadsq,96,4,1,1618,2,411,144,1559,410,411,1,0,410,411,1,0,0,not_attempted,-1,,2.48
a27e208c31bb,main,D_leadsq,96,9,1,8467,3,949,144,5856,948,949,1,0,948,949,1,0,0,not_attempted,-1,,27.97
51f15e5a86b5,main,D_leadsq,96,5,1,1741,2,437,144,1810,436,437,1,0,436,437,1,0,0,not_attempted,-1,,3.06
67a38b68d880,main,D_leadsq,96,4,1,9153,3,1035,144,3193,1034,1035,1,0,1034,1035,1,0,0,not_attempted,-1,,34.8
dc13b269558a,main,E_leadcube,96,7,1,5627,3,639,144,3964,638,639,1,0,638,639,1,0,0,not_attempted,-1,,8.97
03886f905c30,main,E_leadcube,96,5,1,2374,2,601,144,2594,600,601,1,0,600,601,1,0,0,not_attempted,-1,,7.3
955434bb4647,main,E_leadcube,96,6,1,8951,3,1026,144,5906,1025,1026,1,0,1025,1026,1,0,0,not_attempted,-1,,37.7
852a58f008d5,main,E_leadcube,96,5,1,2372,2,598,144,2599,597,598,1,0,597,598,1,0,0,not_attempted,-1,,7.46
8743dd0877f1,main,E_leadcube,96,12,1,7211,3,813,144,6082,812,813,1,0,812,813,1,0,0,not_attempted,-1,,19.63
06f912c99bed,main,E_leadcube,96,13,1,6325,3,711,144,4822,710,711,1,0,710,711,1,0,0,not_attempted,-1,,13.63
02579daa05f0,main,A_rand_sparse_lin,108,4,1,3115,2,778,162,3014,777,778,1,0,777,778,1,0,0,not_attempted,-1,,16.24
491f8829b7b1,main,A_rand_sparse_lin,108,6,1,8212,3,913,162,5197,912,913,1,0,912,913,1,0,0,not_attempted,-1,,24.84
8fd09a839061,main,A_rand_sparse_lin,108,3,1,5009,3,558,162,1667,557,558,1,0,557,558,1,0,0,not_attempted,-1,,5.89
fd5048f68a64,main,A_rand_sparse_lin,108,5,1,9408,3,1047,162,3816,1046,1047,1,0,1046,1047,1,0,0,not_attempted,-1,,36.69
27177513f5ef,main,A_rand_sparse_lin,108,3,1,3563,2,895,162,2563,894,895,1,0,894,895,1,0,0,not_attempted,-1,,22.45
6b274c42d9fa,main,A_rand_sparse_lin,108,7,1,4859,3,540,162,3429,539,540,1,0,539,540,1,0,0,not_attempted,-1,,5.54
f22d67260b8e,main,A_rand_sparse_lin,108,3,1,4188,2,1047,162,3135,1046,1047,1,0,1046,1047,1,0,0,not_attempted,-1,,40.8
25c53ac74cb7,main,A_rand_sparse_lin,108,3,1,7871,3,877,162,2527,876,877,1,0,876,877,1,0,0,not_attempted,-1,,23.52
8062e58cca09,main,B_rand_sparse_nolin,108,6,0,6777,3,752,162,4323,751,752,1,0,751,752,1,0,0,not_attempted,-1,,14.67
08fe14d7720a,main,B_rand_sparse_nolin,108,5,0,8355,3,951,162,4707,950,951,1,0,950,951,1,0,0,not_attempted,-1,,31.94
290f6b754b36,main,B_rand_sparse_nolin,108,8,0,6384,3,715,162,4362,714,715,1,0,714,715,1,0,0,not_attempted,-1,,14.6
74a89b5ebeb4,main,B_rand_sparse_nolin,108,3,0,6113,3,701,162,2043,700,701,1,0,700,701,1,0,0,not_attempted,-1,,11.51
c2f7d911eb7d,main,C_struct_x,108,5,1,132,1,132,162,299,130,131,2,0,130,131,2,0,0,not_attempted,-1,,0.16
393be222c29c,main,C_struct_x,108,3,1,125,1,125,162,238,123,124,2,0,123,124,2,0,0,not_attempted,-1,,0.15
682706856007,main,C_struct_x,108,3,1,112,1,112,162,217,110,111,2,0,110,111,2,0,0,not_attempted,-1,,0.13
14efba30d718,main,C_struct_x,108,3,1,123,1,123,162,273,121,122,2,0,121,122,2,0,0,not_attempted,-1,,0.15
041d4548bcf4,main,C_struct_x,108,3,1,131,1,131,162,272,129,130,2,0,129,130,2,0,0,not_attempted,-1,,0.19
8881e70ece05,main,C_struct_x,108,3,1,157,1,157,162,318,155,156,2,0,155,156,2,0,0,not_attempted,-1,,0.24
b07c088e7361,main,D_leadsq,108,7,1,5212,3,589,162,1885,588,589,1,0,588,589,1,0,0,not_attempted,-1,,7.46
32969fbfcaaf,main,D_leadsq,108,4,1,2305,2,580,162,2232,579,580,1,0,579,580,1,0,0,not_attempted,-1,,7.13
4b0168e86ca6,main,D_leadsq,108,8,1,5303,3,600,162,3850,599,600,1,0,599,600,1,0,0,not_attempted,-1,,8.47
3ebfa7289f13,main,D_leadsq,108,6,1,8251,3,921,162,3989,920,921,1,0,920,921,1,0,0,not_attempted,-1,,27.18
600c260f769d,main,D_leadsq,108,4,1,2547,2,640,162,1976,638,639,2,0,638,639,2,0,0,not_attempted,-1,,9.24
563018343cf2,main,D_leadsq,108,8,1,10833,4,671,162,3906,670,671,1,0,670,671,1,0,0,not_attempted,-1,,11.18
353930b6090f,main,D_leadsq,108,9,1,6590,3,743,162,4593,742,743,1,0,742,743,1,0,0,not_attempted,-1,,15.54
65888f11683b,main,D_leadsq,108,7,1,4972,3,564,162,3177,563,564,1,0,563,564,1,0,0,not_attempted,-1,,6.85
5a889a9d69d4,main,E_leadcube,108,5,1,2671,2,676,162,2914,675,676,1,0,675,676,1,0,0,not_attempted,-1,,11.25
88c4316f3f46,main,E_leadcube,108,13,1,9570,3,1078,162,7547,1077,1078,1,0,1077,1078,1,0,0,not_attempted,-1,,48.72
47828c7b4cff,main,E_leadcube,108,7,1,3302,2,827,162,4109,826,827,1,0,826,827,1,0,0,not_attempted,-1,,19.11
4917f0b1db53,main,E_leadcube,108,11,1,8930,3,1029,162,6373,1028,1029,1,0,1028,1029,1,0,0,not_attempted,-1,,41.4
fc5bcd9e2d8a,main,E_leadcube,108,5,1,5939,3,672,162,3258,671,672,1,0,671,672,1,0,0,not_attempted,-1,,11.24
72fb79282a94,main,E_leadcube,108,12,1,2667,2,672,162,3887,671,672,1,0,671,672,1,0,0,not_attempted,-1,,12.45
8f13f90ca978,main,A_rand_sparse_lin,126,7,1,8663,3,968,189,6641,967,968,1,0,967,968,1,0,0,not_attempted,-1,,32.77
0c21fe37e9d7,main,A_rand_sparse_lin,126,6,1,11408,4,713,189,3990,712,713,1,0,712,713,1,0,0,not_attempted,-1,,12.42
0c451b90af19,main,A_rand_sparse_lin,126,4,1,3610,2,900,189,2954,899,900,1,0,899,900,1,0,0,not_attempted,-1,,23.28
ba220eca63b7,main,A_rand_sparse_lin,126,8,1,10441,3,1164,189,8635,1163,1164,1,0,1163,1164,1,0,0,not_attempted,-1,,45.09
6fecb4bfec0d,main,A_rand_sparse_lin,126,6,1,10274,3,1141,189,6165,1140,1141,1,0,1140,1141,1,0,0,not_attempted,-1,,43.7
2abb679e9346,main,A_rand_sparse_lin,126,5,1,4595,2,1154,189,4583,1153,1154,1,0,1153,1154,1,0,0,not_attempted,-1,,40.12
9d25cdca835b,main,A_rand_sparse_lin,126,7,1,14516,4,933,189,6409,932,933,1,0,932,933,1,0,0,not_attempted,-1,,18.36
15ed09baa811,main,A_rand_sparse_lin,126,3,1,8226,3,915,189,2736,914,915,1,0,914,915,1,0,0,not_attempted,-1,,16.96
7bf3a2d17218,main,B_rand_sparse_nolin,126,5,0,6188,3,685,189,3027,684,685,1,0,684,685,1,0,0,not_attempted,-1,,7.31
7f3ca302a2ff,main,B_rand_sparse_nolin,126,3,0,992,1,992,189,2236,990,991,2,0,990,991,2,0,0,not_attempted,-1,,20.97
9e44a32c5622,main,B_rand_sparse_nolin,126,8,0,11311,4,726,189,4699,725,726,1,0,725,726,1,0,0,not_attempted,-1,,9.46
149632a804d8,main,B_rand_sparse_nolin,126,3,0,3777,2,939,189,2548,938,939,1,0,938,939,1,0,0,not_attempted,-1,,17.22
916512490585,main,C_struct_x,126,3,1,183,1,183,189,396,181,182,2,0,181,182,2,0,0,not_attempted,-1,,0.19
afb0d7e87109,main,C_struct_x,126,3,1,209,1,209,189,529,207,208,2,0,207,208,2,0,0,not_attempted,-1,,0.23
e23bdf538aa0,main,C_struct_x,126,4,1,152,1,152,189,342,150,151,2,0,150,151,2,0,0,not_attempted,-1,,0.12
cce6d556a80d,main,C_struct_x,126,4,1,143,1,143,189,327,141,142,2,0,141,142,2,0,0,not_attempted,-1,,0.11
4841b4a09873,main,C_struct_x,126,4,1,234,1,234,189,592,232,233,2,0,232,233,2,0,0,not_attempted,-1,,0.47
