hash,family,profile,deg_P,n_supp_P,S2,S1,places_at_infinity,genus_newton,lead_terms,passed,screen_secs,S1_detail
"7b784eda6f16","M1","(126,189)","126","8","pass","reject","23","3149","6","False","2.2","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"98df01611310","M1","(126,189)","126","22","pass","reject","53","6402","20","False","3.0","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"6172814e299c","M1","(126,189)","126","17","pass","reject","38","5364","14","False","2.9","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"c00279a4a40a","M1","(126,189)","126","23","pass","timeout","38","5909","19","False","91.1","singular_timeout"
"50f6f382924b","M1","(126,189)","126","7","pass","timeout","8","2714","3","False","90.1","singular_timeout"
"f8992646640a","M1","(126,189)","126","12","pass","reject","29","6479","9","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"8f2c47c74b37","M1","(126,189)","126","7","pass","reject","38","4567","3","False","0.0","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"372ce6b89272","M1","(126,189)","126","15","pass","reject","47","5622","14","False","0.0","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"9fb80fd463ee","M1","(126,189)","126","5","pass","reject","23","2655","3","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"cd385e5d1fbf","M1","(126,189)","126","12","pass","reject","35","6025","10","False","0.2","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"384a86ccf404","M1","(126,189)","126","5","pass","reject","5","2161","3","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"ebf2e38df467","M1","(126,189)","126","11","pass","reject","38","4515","10","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"238afcc2d1fe","M1","(126,189)","126","10","pass","reject","26","6191","6","False","0.6","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"8e5e6feaf057","M1","(126,189)","126","13","pass","reject","62","7500","9","False","0.5","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"32321981b664","M1","(126,189)","126","21","pass","reject","53","6378","20","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"a64141ef2e54","M1","(126,189)","126","11","pass","reject","44","5262","9","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"c08694448753","M1","(126,189)","126","7","pass","reject","35","4816","3","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"856bf513c37f","M1","(126,189)","126","9","pass","reject","38","5224","6","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"e55899a67cbe","M1","(126,189)","126","5","pass","reject","29","3592","3","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"4b2a04ad2c2d","M1","(126,189)","126","18","pass","reject","53","6513","15","False","0.7","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"29a7e5b7fa2d","M1","(126,189)","126","23","pass","reject","47","6768","19","False","58.6","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"bdf970d43272","M1","(126,189)","126","16","pass","reject","62","7500","14","False","0.2","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"4425d722d5cb","M1","(126,189)","126","10","pass","reject","47","6162","6","False","0.3","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"c7f503d68aa9","M1","(126,189)","126","15","pass","reject","35","4125","13","False","0.2","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"32cc359c635c","M1","(126,189)","126","17","pass","reject","56","6875","14","False","0.5","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"d7107cddb129","M1","(126,189)","126","5","pass","reject","17","2974","3","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"f2fa7b4332a8","M1","(126,189)","126","15","pass","reject","44","6144","13","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"919a3cb203ce","M1","(126,189)","126","16","pass","reject","62","7500","15","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"d7d92cc96981","M1","(126,189)","126","10","pass","reject","53","6375","9","False","0.1","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"a07d5fc1933f","M1","(126,189)","126","6","pass","reject","11","1547","3","False","1.9","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"7972afa70ca9","M1","(128,192)","128","13","pass","reject","56","6864","10","False","0.2","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"3a10caa740af","M1","(128,192)","128","9","pass","reject","26","4312","6","False","0.2","common zero of (P_x,P_y): HAS_COMMON_ZERO 0"
"d91f0a35e866","M1","(128,192)","128","10","pass","timeout","29","5145","6","False","90.2","singular_timeout"
