family,hash,poly,tdeg,degx,degy,nterms,u_modp,u_q,t_modp,t_q,sy,sy_nodes,sy_leaves,t_sy,fib,t_fib,agree,crux,label
F2,053aa149f4ce,(9/2)*x^5 + 6*x^4*y + 2*x^3*y^2 - 9*x^4 - 6*x^3*y + (9/2)*x^3 + 3*x + 2*y - 3,5,5,2,9,PASS,PASS,0.008,0.01,NON_COORDINATE,3,2,0.0,NON_COORDINATE_BY_R,0.174,CORROBORATED,True,"F2 n=3 c=2 a=0 h0=2 t=[(0, Fraction(-3, 1)), (1, Fraction(3, 1))]"
F2,e472ac3ffdef,2*x^4*y^2 + 6*x^4*y - 8*x^3*y^2 + (9/2)*x^4 - 24*x^3*y + 12*x^2*y^2 - 18*x^3 + 36*x^2*y - 8*x*y^2 + 27*x^2 - 24*x*y + 2*y^2 - 18*x + 8*y + (15/2),6,4,2,15,PASS,PASS,0.008,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.167,CORROBORATED,True,"F2 n=4 c=2 a=1 h0=2 t=[(0, Fraction(3, 1))]"
F2,a13a89ea6e23,(-1/2)*x^6 + 4*x^5 + 2*x^4*y - 14*x^4 - 12*x^3*y - 2*x^2*y^2 + 28*x^3 + 28*x^2*y + 8*x*y^2 + (-69/2)*x^2 - 32*x*y - 8*y^2 + 25*x + 17*y - 9,6,6,2,15,PASS,PASS,0.008,0.008,NON_COORDINATE,4,2,0.001,NON_COORDINATE_BY_R,0.198,CORROBORATED,True,"F2 n=2 c=-2 a=2 h0=1 t=[(0, Fraction(-2, 1)), (1, Fraction(2, 1)), (2, Fraction(-1, 1))]"
F2,a1db727d59d3,-1*x^3*y^2 + x^3*y + 6*x^2*y^2 + (-1/4)*x^3 - 6*x^2*y - 12*x*y^2 + (3/2)*x^2 + 12*x*y + 8*y^2 - 3*x - 7*y + (3/2),5,3,2,12,PASS,PASS,0.008,0.009,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.166,CORROBORATED,True,"F2 n=3 c=-1 a=2 h0=1 t=[(0, Fraction(-1, 1))]"
F2,f036c423cf2f,-2*x^3*y^2 - 6*x^3*y + 12*x^2*y^2 + (-9/2)*x^3 + 36*x^2*y - 24*x*y^2 + 27*x^2 - 72*x*y + 16*y^2 - 54*x + 49*y + (75/2),5,3,2,12,PASS,PASS,0.008,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.168,CORROBORATED,True,"F2 n=3 c=-2 a=2 h0=1 t=[(0, Fraction(3, 1))]"
F2,6c1314e54763,(1/4)*x^3 - 1*x^2*y + x*y^2 + (1/2)*x^2 - 1*x*y + (-1/4)*x + y + (-1/2),3,3,2,8,PASS,PASS,0.008,0.007,NON_COORDINATE,3,2,0.0,NON_COORDINATE_BY_R,0.151,CORROBORATED,True,"F2 n=1 c=1 a=0 h0=1 t=[(0, Fraction(-1, 1)), (1, Fraction(-1, 1))]"
F2,e21f12227b36,2*x^2*y^2 + 4*x^2*y + 4*x*y^2 + 2*x^2 + 8*x*y + 2*y^2 + 4*x + y - 1,4,2,2,9,PASS,PASS,0.008,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.152,CORROBORATED,True,"F2 n=2 c=2 a=-1 h0=-3 t=[(0, Fraction(2, 1))]"
F2,25878a7da4a2,3*x*y^2 + 6*x*y + 3*x - 3*y - 3,3,1,2,5,PASS,PASS,0.008,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.152,CORROBORATED,True,"F2 n=1 c=3 a=0 h0=-3 t=[(0, Fraction(2, 1))]"
F2,4a817d650197,-1*x^2*y^2 + 3*x^2*y + (-9/4)*x^2 + 2*y - 3,4,2,2,5,PASS,PASS,0.008,0.008,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.154,CORROBORATED,True,"F2 n=2 c=-1 a=0 h0=2 t=[(0, Fraction(-3, 1))]"
F2,c3a90800f935,(27/4)*x^4 + 9*x^3*y + 3*x^2*y^2 - 9*x^3 - 6*x^2*y + 3*x^2 + (3/2)*x + y - 1,4,4,2,9,PASS,PASS,0.008,0.008,NON_COORDINATE,3,2,0.0,NON_COORDINATE_BY_R,0.155,CORROBORATED,True,"F2 n=2 c=3 a=0 h0=1 t=[(0, Fraction(-2, 1)), (1, Fraction(3, 1))]"
