hash,label,deg_P,deg_y,n_terms,species_measured,U_bezout_identity,U_residual_terms,U_deg_A,U_deg_B,SY_verdict,FIB_witness,max_fibre_components,period_instrument,places_at_infinity,genus,period_case,period_value,period_witness,period_verdict,mate_verdict,mate_max_deg_Q,mate_certificate,mate_lambda_support,mate_lambda_reverified
c5e02d711fe5,"G1 h0=-3 c=2 a=0 n=1 m=2 t=[(0, Fraction(1, 1))]",3,2,5,v-quadratic,True,0,2,2,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,residues ['0'],all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,6,lambda_exact,13,True
a3b909a78c74,"G1 h0=-1 c=1 a=0 n=1 m=2 t=[(0, Fraction(-3, 1)), (1, Fraction(-3, 1))]",3,2,8,v-quadratic,True,0,2,2,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,residues ['0'],all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,6,lambda_exact,22,True
a03f511f7ecd,"G1 h0=-3 c=-1 a=2 n=1 m=2 t=[(0, Fraction(-3, 1)), (1, Fraction(1, 1)), (2, Fraction(-2, 1))]",5,2,12,v-quadratic,True,0,2,3,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,residues ['0'],all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,10,lambda_exact,42,True
fef547c2b095,"G1 h0=1 c=-1 a=0 n=1 m=2 t=[(0, Fraction(-1, 1)), (1, Fraction(1, 1)), (2, Fraction(-2, 1)), (3, Fraction(-3, 1))]",7,2,14,v-quadratic,True,0,2,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,residues ['0'],all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,14,lambda_exact,74,True
a6f2275bea24,"G1 h0=1 c=2 a=1 n=2 m=2 t=[(0, Fraction(2, 1))]",4,2,9,v-quadratic|S2_ge3_places,True,0,3,3,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,max|Res| = 0.3535533905932738,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
6836bcb45f5b,"G1 h0=-1 c=3 a=0 n=2 m=2 t=[(1, Fraction(-1, 1))]",4,2,5,v-quadratic|S2_ge3_places,True,0,3,3,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,max|Res| = 0.28867513459481287,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
4dbdab934ff9,"G1 h0=2 c=-2 a=2 n=2 m=2 t=[(0, Fraction(2, 1)), (2, Fraction(-1, 1))]",6,2,14,v-quadratic|S2_ge3_places,True,0,3,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,max|Res| = 0.3535533905932738,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
5e76efef99d1,"G1 h0=-3 c=-1 a=0 n=2 m=2 t=[(0, Fraction(2, 1)), (1, Fraction(1, 1)), (2, Fraction(3, 1)), (3, Fraction(-1, 1))]",8,2,15,v-quadratic|S2_ge3_places,True,0,3,5,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,i,max|Res| = 0.5,nonzero residues at the 2 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
4dda6f050f87,"G1 h0=-3 c=1 a=-1 n=3 m=2 t=[(0, Fraction(-3, 1))]",5,2,12,v-quadratic|S3_positive_genus,True,0,4,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
109b34dbdc2f,"G1 h0=-3 c=1 a=0 n=3 m=2 t=[(0, Fraction(-1, 1)), (1, Fraction(-3, 1))]",5,2,9,v-quadratic|S3_positive_genus,True,0,4,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
