894a95da1a0d deg=14 EMPTY_all_stages   stages=[(29, 'EMPTY_over_Q', 'lambda_exact'), (30, 'EMPTY_over_Q', 'lambda_exact')] (223s)
1de9e111cb5d deg= 3 EMPTY_all_stages   stages=[(7, 'EMPTY_over_Q', 'lambda_exact'), (8, 'EMPTY_over_Q', 'lambda_exact'), (9, 'EMPTY_over_Q', 'lambda_exact')] (0s)
46a40cb56510 deg= 7 EMPTY_all_stages   stages=[(15, 'EMPTY_over_Q', 'lambda_exact'), (16, 'EMPTY_over_Q', 'lambda_exact'), (21, 'EMPTY_over_Q', 'lambda_exact')] (1s)
b35d46339ef4 deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (3s)
11b94e5ad1be deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (4s)
40d4c9f57c36 deg= 9 EMPTY_all_stages   stages=[(19, 'EMPTY_over_Q', 'lambda_exact'), (20, 'EMPTY_over_Q', 'lambda_exact'), (26, 'EMPTY_over_Q', 'lambda_exact')] (24s)
d01448b8b96a deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (3s)
ac09181bd1e3 deg= 8 EMPTY_all_stages   stages=[(17, 'EMPTY_over_Q', 'lambda_exact'), (18, 'EMPTY_over_Q', 'lambda_exact'), (24, 'EMPTY_over_Q', 'lambda_exact')] (28s)
762dac3fbdb1 deg=13 EMPTY_all_stages   stages=[(27, 'EMPTY_over_Q', 'lambda_exact'), (28, 'EMPTY_over_Q', 'lambda_exact')] (24s)
11b99f22adf6 deg=18 EMPTY_all_stages   stages=[(37, 'EMPTY_over_Q', 'lambda_exact'), (38, 'SKIPPED_time_budget', None)] (1174s)
d57b38902c84 deg=18 EMPTY_all_stages   stages=[(37, 'EMPTY_over_Q', 'lambda_exact'), (38, 'EMPTY_over_Q', 'lambda_exact')] (1503s)
c689ce7fc834 deg=18 EMPTY_all_stages   stages=[(37, 'EMPTY_over_Q', 'lambda_exact'), (38, 'EMPTY_over_Q', 'lambda_exact')] (828s)
282a9f40c368 deg=24 NOT_CERTIFIED      stages=[(49, 'NOT_CERTIFIED', 'none'), (50, 'NOT_CERTIFIED', 'none')] (63s)
cf1c601f3d1c deg=20 NOT_CERTIFIED      stages=[(41, 'NOT_CERTIFIED', 'none'), (42, 'NOT_CERTIFIED', 'none')] (16s)
