632afa8e6433 deg=13 EMPTY_all_stages   stages=[(27, 'EMPTY_over_Q', 'lambda_exact'), (28, 'EMPTY_over_Q', 'lambda_exact')] (90s)
cd46f9341dc7 deg= 7 EMPTY_all_stages   stages=[(15, 'EMPTY_over_Q', 'lambda_exact'), (16, 'EMPTY_over_Q', 'lambda_exact'), (21, 'EMPTY_over_Q', 'lambda_exact')] (7s)
d735085d2c22 deg=15 EMPTY_all_stages   stages=[(31, 'EMPTY_over_Q', 'lambda_exact'), (32, 'EMPTY_over_Q', 'lambda_exact')] (410s)
00427d4924d2 deg= 6 EMPTY_all_stages   stages=[(13, 'EMPTY_over_Q', 'lambda_exact'), (14, 'EMPTY_over_Q', 'lambda_exact'), (18, 'EMPTY_over_Q', 'lambda_exact')] (11s)
f406b3aeda22 deg=16 EMPTY_all_stages   stages=[(33, 'EMPTY_over_Q', 'lambda_exact'), (34, 'EMPTY_over_Q', 'lambda_exact')] (385s)
e52860893178 deg= 7 EMPTY_all_stages   stages=[(15, 'EMPTY_over_Q', 'lambda_exact'), (16, 'EMPTY_over_Q', 'lambda_exact'), (21, 'EMPTY_over_Q', 'lambda_exact')] (23s)
726da7cd9516 deg=17 EMPTY_all_stages   stages=[(35, 'EMPTY_over_Q', 'lambda_exact'), (36, 'EMPTY_over_Q', 'lambda_exact')] (368s)
e94c47f785e6 deg= 9 EMPTY_all_stages   stages=[(19, 'EMPTY_over_Q', 'lambda_exact'), (20, 'EMPTY_over_Q', 'lambda_exact'), (26, 'EMPTY_over_Q', 'lambda_exact')] (77s)
1f53638e8cf6 deg=19 EMPTY_all_stages   stages=[(39, 'EMPTY_over_Q', 'lambda_exact'), (40, 'EMPTY_over_Q', 'lambda_exact')] (704s)
c3dbaae9c4ab deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (5s)
808e52fdb1b6 deg= 9 EMPTY_all_stages   stages=[(19, 'EMPTY_over_Q', 'lambda_exact'), (20, 'EMPTY_over_Q', 'lambda_exact'), (26, 'EMPTY_over_Q', 'lambda_exact')] (1s)
d6a8255e8c96 deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (3s)
83022ceaab23 deg= 9 EMPTY_all_stages   stages=[(19, 'EMPTY_over_Q', 'lambda_exact'), (20, 'EMPTY_over_Q', 'lambda_exact'), (26, 'EMPTY_over_Q', 'lambda_exact')] (1s)
c447da45ca02 deg=14 EMPTY_all_stages   stages=[(29, 'EMPTY_over_Q', 'lambda_exact'), (30, 'EMPTY_over_Q', 'lambda_exact')] (5s)
7c887944e856 deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (2s)
a9b90eff1970 deg=13 EMPTY_all_stages   stages=[(27, 'EMPTY_over_Q', 'lambda_exact'), (28, 'EMPTY_over_Q', 'lambda_exact')] (60s)
a814ad47ed0c deg=20 NOT_CERTIFIED      stages=[(41, 'NOT_CERTIFIED', 'none'), (42, 'NOT_CERTIFIED', 'none')] (14s)
7747339a4408 deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (4s)
96e4a2c6d1d3 deg=24 NOT_CERTIFIED      stages=[(49, 'NOT_CERTIFIED', 'none'), (50, 'NOT_CERTIFIED', 'none')] (49s)
4667d741b2d6 deg=13 EMPTY_all_stages   stages=[(27, 'EMPTY_over_Q', 'lambda_exact'), (28, 'EMPTY_over_Q', 'lambda_exact')] (175s)
b7612f47cd64 deg=10 EMPTY_all_stages   stages=[(21, 'EMPTY_over_Q', 'lambda_exact'), (22, 'EMPTY_over_Q', 'lambda_exact'), (26, 'EMPTY_over_Q', 'lambda_exact')] (95s)
