c5e02d711fe5 deg= 3 EMPTY_all_stages   stages=[(7, 'EMPTY_over_Q', 'lambda_exact'), (8, 'EMPTY_over_Q', 'lambda_exact'), (9, 'EMPTY_over_Q', 'lambda_exact')] (1s)
a03f511f7ecd deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (4s)
207b968cb4c5 deg= 4 EMPTY_all_stages   stages=[(9, 'EMPTY_over_Q', 'lambda_exact'), (10, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact')] (1s)
39f56b091e75 deg= 7 EMPTY_all_stages   stages=[(15, 'EMPTY_over_Q', 'lambda_exact'), (16, 'EMPTY_over_Q', 'lambda_exact'), (21, 'EMPTY_over_Q', 'lambda_exact')] (8s)
0a32a1935a5d deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (0s)
1ef523b227e7 deg= 8 EMPTY_all_stages   stages=[(17, 'EMPTY_over_Q', 'lambda_exact'), (18, 'EMPTY_over_Q', 'lambda_exact'), (24, 'EMPTY_over_Q', 'lambda_exact')] (55s)
7f2b3c396f45 deg= 5 EMPTY_all_stages   stages=[(11, 'EMPTY_over_Q', 'lambda_exact'), (12, 'EMPTY_over_Q', 'lambda_exact'), (15, 'EMPTY_over_Q', 'lambda_exact')] (3s)
55a9ae0456b4 deg= 9 EMPTY_all_stages   stages=[(19, 'EMPTY_over_Q', 'lambda_exact'), (20, 'EMPTY_over_Q', 'lambda_exact'), (27, 'EMPTY_over_Q', 'lambda_exact')] (44s)
7b72f1effa40 deg= 7 EMPTY_all_stages   stages=[(15, 'EMPTY_over_Q', 'lambda_exact'), (16, 'EMPTY_over_Q', 'lambda_exact'), (21, 'EMPTY_over_Q', 'lambda_exact')] (0s)
3bd161cf7a22 deg=11 EMPTY_all_stages   stages=[(23, 'EMPTY_over_Q', 'lambda_exact'), (24, 'EMPTY_over_Q', 'lambda_exact'), (33, 'EMPTY_over_Q', 'lambda_exact')] (87s)
37670b444e89 deg= 6 EMPTY_all_stages   stages=[(13, 'EMPTY_over_Q', 'lambda_exact'), (14, 'EMPTY_over_Q', 'lambda_exact'), (18, 'EMPTY_over_Q', 'lambda_exact')] (2s)
c8aa6fd84bbc deg=11 EMPTY_all_stages   stages=[(23, 'EMPTY_over_Q', 'lambda_exact'), (24, 'EMPTY_over_Q', 'lambda_exact'), (33, 'EMPTY_over_Q', 'lambda_exact')] (161s)
8ccaea9ee461 deg= 7 EMPTY_all_stages   stages=[(15, 'EMPTY_over_Q', 'lambda_exact'), (16, 'EMPTY_over_Q', 'lambda_exact'), (21, 'EMPTY_over_Q', 'lambda_exact')] (1s)
7887429824c2 deg=12 EMPTY_all_stages   stages=[(25, 'EMPTY_over_Q', 'lambda_exact'), (26, 'EMPTY_over_Q', 'lambda_exact'), (36, 'EMPTY_over_Q', 'lambda_exact')] (97s)
c4e207c544a0 deg= 9 EMPTY_all_stages   stages=[(19, 'EMPTY_over_Q', 'lambda_exact'), (20, 'EMPTY_over_Q', 'lambda_exact'), (27, 'EMPTY_over_Q', 'lambda_exact')] (43s)
