support,hash,deg,deg_y,n_terms,instrument,screen_verdict,genus,n_punctures,unimodular,bezout_method,bezout_residual_terms,sy,fibre_witness,survivor,mate_verdict,mate_stages,numeric_rel_max,P
H1,1e8144b39dbd,2,2,5,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,COORDINATE,"no witness (genus 0, 1 puncture)",False,,,4.629612623393476e-16,(1/4)*x^2 + 1*x*y + 1*y^2 + 1*y + (1/4)
H1,05448ae01b6d,2,2,4,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,COORDINATE,"no witness (genus 0, 1 puncture)",False,,,4.846499998819566e-16,(1/4)*x^2 + 1*x*y + 1*y^2 + (-1/2)*x
H2,f9c3e6131ab8,6,2,11,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,COORDINATE,"no witness (genus 0, 1 puncture)",False,,,1.0762340476814986e-15,1*x^6 + 1*x^5 + (1/4)*x^4 + 2*x^3*y + 1*x^3 + 1*x^2*y + (1/2)*x^2 + 1*y^2 + (-1/2)*x + 1*y + (1/4)
H3,d37142063698,3,2,4,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"no witness (genus 0, 1 puncture)",True,EMPTY_over_Q_all_stages,D=3:EMPTY_over_Q;D=5:EMPTY_over_Q;D=6:EMPTY_over_Q,1.9506843681979927e-13,1*x*y^2 + 1*x*y + (1/4)*x + 1*y
H4,431f3f1966ca,3,2,9,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"no witness (genus 0, 1 puncture)",True,EMPTY_over_Q_all_stages,D=3:EMPTY_over_Q;D=5:EMPTY_over_Q;D=6:EMPTY_over_Q,3.578800795657869e-15,(1/4)*x^3 + 1*x^2*y + 1*x*y^2 + (3/4)*x^2 + 1*x*y - 1*y^2 + (3/2)*x + 1*y + (7/4)
H5,9667585bcb72,5,2,10,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"no witness (genus 0, 1 puncture)",True,EMPTY_over_Q_all_stages,D=5:EMPTY_over_Q;D=8:EMPTY_over_Q;D=10:EMPTY_over_Q,5.812825270767318e-14,(1/8)*x^5 + (1/4)*x^4 + 1*x^3*y + (1/8)*x^3 + 1*x^2*y + 2*x*y^2 + (1/4)*x^2 + (1/4)*x + 1*y + (-3/8)
H6,fb63dd1ccaec,9,2,11,HE17,PERIODS_VANISH,0,,NOT_CERTIFIED,,,NON_COORDINATE,"no witness (genus 0, 1 puncture)",False,,,3.438848731793128e-15,(1/4)*x^9 + (1/4)*x^8 + 1*x^5*y + (1/2)*x^5 + 1*x^4*y + (1/2)*x^4 + 1*x*y^2 + 1*x*y + 1*y^2 + (1/4)*x + 1*y
H7,2c6dbb9e3815,15,2,19,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"no witness (genus 0, 1 puncture)",True,EMPTY_over_Q_all_stages,D=15:EMPTY_over_Q;D=23:EMPTY_over_Q,,(1/4)*x^15 + (1/2)*x^14 + (1/4)*x^13 + (1/2)*x^12 + (1/2)*x^11 + (3/4)*x^9 + 1*x^8*y + (1/2)*x^8 + 1*x^7*y + (1/2)*x^7 + 1*x^6 + 1*x^5*y + (1/2)*x^4 + (1/4)*x^3 + 1*x^2*y + 1*x*y^2 + (1/2)*x + 1*y + (-1/4)
H8,02299003cb19,29,2,10,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"no witness (genus 0, 1 puncture)",True,EMPTY_over_Q_all_stages,D=29:EMPTY_over_Q,,(1/4)*x^29 + (1/2)*x^28 + (1/4)*x^27 + 1*x^15*y + 1*x^14*y + (1/2)*x^14 + (1/2)*x^13 + 1*x*y^2 + 1*y + (-1/4)
E1,4b3d403b5051,5,2,2,SE17,PERIODS_VANISH,0,3,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 3 punctures)",True,EMPTY_over_Q_all_stages,D=5:EMPTY_over_Q;D=8:EMPTY_over_Q;D=10:EMPTY_over_Q,6.890091022526975e-14,1*x^3*y^2 + 1*x
E1,e57028c3921e,5,2,6,SE17,PERIODS_VANISH,0,3,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 3 punctures)",True,EMPTY_over_Q_all_stages,D=5:EMPTY_over_Q;D=8:EMPTY_over_Q;D=10:EMPTY_over_Q,5.449157164835849e-15,3*x^3*y^2 - 9*x^2*y^2 + 9*x*y^2 - 3*y^2 + 2*x + 1
E4,168e0b30d46b,7,2,2,SE17,PERIODS_VANISH,0,3,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 3 punctures)",True,EMPTY_over_Q_all_stages,D=7:EMPTY_over_Q;D=11:EMPTY_over_Q;D=14:EMPTY_over_Q,4.3496440978952725e-14,1*x^5*y^2 + 1*x
E5,65551d9727e7,11,2,2,SE17,PERIODS_VANISH,0,3,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 3 punctures)",True,EMPTY_over_Q_all_stages,D=11:EMPTY_over_Q;D=17:EMPTY_over_Q;D=22:EMPTY_over_Q,1.2991427803288204e-13,1*x^9*y^2 + 1*x
E6,b520c37ad02b,5,3,2,SE17,UNDECIDED_BY_RESIDUES_genus>=1,1,2,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 1, 2 punctures)",False,,,1.4986879326991318,1*x^2*y^3 + 1*x
E7,f2782c9f083f,7,3,2,SE17,PERIODS_VANISH,0,4,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 4 punctures)",True,EMPTY_over_Q_all_stages,D=7:EMPTY_over_Q;D=11:EMPTY_over_Q;D=14:EMPTY_over_Q,6.896750857811129e-14,1*x^4*y^3 + 1*x
E10,5ba43826fa42,8,2,5,SE17,UNDECIDED_BY_RESIDUES_genus>=1,1,3,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 1, 3 punctures)",False,,,1.4070462859983839,1*x^6*y^2 - 3*x^5*y^2 + 3*x^4*y^2 - 1*x^3*y^2 + 1*x
E11,e507bc4e8db0,12,3,6,SE17,UNDECIDED_BY_RESIDUES_genus>=1,2,3,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 2, 3 punctures)",False,,,,1*x^9*y^3 - 8*x^8*y^3 + 24*x^7*y^3 - 32*x^6*y^3 + 16*x^5*y^3 + 1*x
E12,13aa79d7382f,29,2,2,SE17,PERIODS_VANISH,0,3,NOT_CERTIFIED,,,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 3 punctures)",False,,,,1*x^27*y^2 + 1*x
E13,462652ead2a6,7,4,2,SE17,UNDECIDED_BY_RESIDUES_genus>=1,1,3,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 1, 3 punctures)",False,,,2.048419463964265,1*x^3*y^4 + 1*x
E14,5497083f3554,8,5,2,SE17,UNDECIDED_BY_RESIDUES_genus>=1,2,2,UNIMODULAR_CERTIFIED,LINALG,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 2, 2 punctures)",False,,,2.1475287858273635,1*x^3*y^5 + 1*x
V1,2f401c620811,3,2,2,SE17,PERIODS_VANISH,0,2,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 2 punctures)",True,EMPTY_over_Q_all_stages,D=3:EMPTY_over_Q;D=5:EMPTY_over_Q;D=6:EMPTY_over_Q,8.89304856502495e-15,1*x*y^2 + 1*y
V2,977aeb39d938,5,3,2,SE17,PERIODS_VANISH,0,3,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 3 punctures)",True,EMPTY_over_Q_all_stages,D=5:EMPTY_over_Q;D=8:EMPTY_over_Q;D=10:EMPTY_over_Q,2.108708007000973e-14,1*x^2*y^3 + 1*y
V3,3d71c055f95f,7,5,2,SE17,PERIODS_VANISH,0,3,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 3 punctures)",True,EMPTY_over_Q_all_stages,D=7:EMPTY_over_Q;D=11:EMPTY_over_Q;D=14:EMPTY_over_Q,1.79730204379648e-15,1*x^2*y^5 + 1*y
V4,8cf19228f363,7,4,2,SE17,PERIODS_VANISH,0,4,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 4 punctures)",True,EMPTY_over_Q_all_stages,D=7:EMPTY_over_Q;D=11:EMPTY_over_Q;D=14:EMPTY_over_Q,1.166822371249849e-13,1*x^3*y^4 + 1*y
V5,e1961840267e,6,2,2,SE17,UNDECIDED_BY_RESIDUES_genus>=1,1,3,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 1, 3 punctures)",False,,,1.6342758982364085,1*x^4*y^2 + 1*y
M1,2d9fa751f027,5,2,10,HE17,PERIODS_VANISH,0,,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"no witness (genus 0, 1 puncture)",True,EMPTY_over_Q_all_stages,D=5:EMPTY_over_Q;D=8:EMPTY_over_Q;D=10:EMPTY_over_Q,1.9509856063445493e-13,1*x^5 + 2*x^4 + 2*x^3*y + 2*x^3 + 2*x^2*y + 1*x*y^2 + 2*x^2 + 1*x*y + (5/4)*x + 1*y
M2,97e25aa31406,6,6,15,shear-invariance + NUM-MONO,PERIODS_VANISH,0,2,UNIMODULAR_CERTIFIED,EUCLID,0,NON_COORDINATE,"NON_COORDINATE (generic fibre: genus 0, 2 punctures)",True,EMPTY_over_Q_all_stages,D=6:EMPTY_over_Q;D=9:EMPTY_over_Q;D=12:EMPTY_over_Q,,1*y^6 + 3*x*y^4 + 2*y^5 + 3*x^2*y^2 + 4*x*y^3 + 2*y^4 + 1*x^3 + 2*x^2*y + 3*x*y^2 + 1*y^3 + 1*x^2 + 1*x*y + (5/4)*y^2 + (5/4)*x + 1*y
