d,prime,samples,rank,separators,components,S1,S2,I1,I2,I3,generic_plane_benchmark,benchmark_match,status
3,999983,384,174,57,3,PASS,PASS,PASS,PASS,PASS,186,NO,MODULAR-CORRECTED
3,1000003,384,174,57,3,PASS,PASS,PASS,PASS,PASS,186,NO,MODULAR-CORRECTED
4,999983,768,395,101,4;2x2,PASS,PASS,PASS,PASS,PASS,441,NO,MODULAR-CORRECTED
4,1000003,768,395,101,4;2x2,PASS,PASS,PASS,PASS,PASS,441,NO,MODULAR-CORRECTED
5,999983,1024,588,358,5;2x2,PASS,PASS,PASS,PASS,PASS,880,NO,MODULAR-CORRECTED
5,1000003,1024,588,358,5;2x2,PASS,PASS,PASS,PASS,PASS,880,NO,MODULAR-CORRECTED
6,999983,1920,1228,425,6;2x3;3x2,PASS,PASS,PASS,PASS,PASS,1575,NO,MODULAR-CORRECTED
6,1000003,1920,1228,425,6;2x3;3x2,PASS,PASS,PASS,PASS,PASS,1575,NO,MODULAR-CORRECTED
7,999983,2560,1558,1143,7;2x3;3x2,PASS,PASS,PASS,PASS,PASS,2610,NO,MODULAR-CORRECTED
7,1000003,2560,1558,1143,7;2x3;3x2,PASS,PASS,PASS,PASS,PASS,2610,NO,MODULAR-CORRECTED
8,999983,4224,2976,1210,8;2x4;4x2;2x2x2,PASS,PASS,PASS,PASS,PASS,4081,NO,MODULAR-CORRECTED
8,1000003,4224,2976,1210,8;2x4;4x2;2x2x2,PASS,PASS,PASS,PASS,PASS,4081,NO,MODULAR-CORRECTED
9,999983,5632,3918,2298,9;2x4;3x3;4x2;2x2x2,PASS,PASS,PASS,PASS,PASS,6096,NO,MODULAR-CORRECTED
9,1000003,5632,3918,2298,9;2x4;3x3;4x2;2x2x2,PASS,PASS,PASS,PASS,PASS,6096,NO,MODULAR-CORRECTED
10,999983,8320,5998,2913,10;2x5;3x3;5x2;2x2x2,PASS,PASS,PASS,PASS,PASS,8775,NO,MODULAR-CORRECTED
10,1000003,8320,5998,2913,10;2x5;3x3;5x2;2x2x2,PASS,PASS,PASS,PASS,PASS,8775,NO,MODULAR-CORRECTED
