support_hash,variant,deg_P,deg_Q,n_mono_P,n_mono_Q,prime,verdict,wall_s
0925795c7a3a,V0,190,190,15,15,999983,EMPTY,0.82
0925795c7a3a,V0,190,190,15,15,1000003,EMPTY,0.78
0925795c7a3a,V1,190,190,19,19,999983,EMPTY,3.57
0925795c7a3a,V1,190,190,19,19,1000003,EMPTY,3.44
c139caa9d735,V0,209,209,16,16,999983,EMPTY,0.9
c139caa9d735,V0,209,209,16,16,1000003,EMPTY,0.92
c139caa9d735,V1,209,209,20,20,999983,EMPTY,3.96
c139caa9d735,V1,209,209,20,20,1000003,EMPTY,4.11
71c4e0d1f75d,V0,143,143,16,16,999983,EMPTY,0.93
71c4e0d1f75d,V0,143,143,16,16,1000003,EMPTY,0.87
71c4e0d1f75d,V1,143,143,20,20,999983,EMPTY,4.2
71c4e0d1f75d,V1,143,143,20,20,1000003,EMPTY,4.2
41aba348735d,V0,150,150,20,20,999983,EMPTY,1.76
41aba348735d,V0,150,150,20,20,1000003,EMPTY,2.3
41aba348735d,V1,150,150,24,24,999983,EMPTY,8.29
41aba348735d,V1,150,150,24,24,1000003,EMPTY,8.09
997abf998dec,V0,176,176,16,16,999983,EMPTY,0.86
997abf998dec,V0,176,176,16,16,1000003,EMPTY,0.89
997abf998dec,V1,176,176,20,20,999983,EMPTY,4.71
997abf998dec,V1,176,176,20,20,1000003,EMPTY,4.61
0ba6d322f7fd,V0,187,187,22,22,999983,EMPTY,2.59
0ba6d322f7fd,V0,187,187,22,22,1000003,EMPTY,2.43
0ba6d322f7fd,V1,187,187,26,26,999983,EMPTY,13.26
0ba6d322f7fd,V1,187,187,26,26,1000003,EMPTY,13.27
12dc6aa56a6f,V0,133,133,12,12,999983,EMPTY,0.55
12dc6aa56a6f,V0,133,133,12,12,1000003,EMPTY,0.55
12dc6aa56a6f,V1,133,133,16,16,999983,EMPTY,1.59
12dc6aa56a6f,V1,133,133,16,16,1000003,EMPTY,1.6
997abf998dec,V0,176,176,16,16,999983,EMPTY,0.79
997abf998dec,V0,176,176,16,16,1000003,EMPTY,0.83
997abf998dec,V1,176,176,20,20,999983,EMPTY,3.91
997abf998dec,V1,176,176,20,20,1000003,EMPTY,3.96
bd12832017ae,V0,209,209,24,24,999983,EMPTY,3.72
bd12832017ae,V0,209,209,24,24,1000003,EMPTY,3.87
bd12832017ae,V1,209,209,28,28,999983,EMPTY,18.91
bd12832017ae,V1,209,209,28,28,1000003,EMPTY,18.3
748f06ab5147,V0,130,130,18,18,999983,EMPTY,1.2
748f06ab5147,V0,130,130,18,18,1000003,EMPTY,1.24
748f06ab5147,V1,130,130,22,22,999983,EMPTY,6.19
748f06ab5147,V1,130,130,22,22,1000003,EMPTY,6.39
4ccb01e502f9,V0,208,208,21,21,999983,EMPTY,1.77
4ccb01e502f9,V0,208,208,21,21,1000003,EMPTY,1.86
4ccb01e502f9,V1,208,208,25,25,999983,EMPTY,9.05
4ccb01e502f9,V1,208,208,25,25,1000003,EMPTY,9.14
997abf998dec,V0,176,176,16,16,999983,EMPTY,0.87
997abf998dec,V0,176,176,16,16,1000003,EMPTY,0.8
997abf998dec,V1,176,176,20,20,999983,EMPTY,4.21
997abf998dec,V1,176,176,20,20,1000003,EMPTY,4.25
596bff4350ac,V0,126,126,14,14,999983,EMPTY,0.77
596bff4350ac,V0,126,126,14,14,1000003,EMPTY,0.84
596bff4350ac,V1,126,126,18,18,999983,EMPTY,2.82
596bff4350ac,V1,126,126,18,18,1000003,EMPTY,3.01
cac981751b51,V0,180,180,17,17,999983,EMPTY,1.13
cac981751b51,V0,180,180,17,17,1000003,EMPTY,1.11
cac981751b51,V1,180,180,21,21,999983,EMPTY,5.06
cac981751b51,V1,180,180,21,21,1000003,EMPTY,4.78
9d3916c5880d,V0,171,171,24,24,999983,EMPTY,3.72
9d3916c5880d,V0,171,171,24,24,1000003,EMPTY,3.95
9d3916c5880d,V1,171,171,28,28,999983,EMPTY,17.5
9d3916c5880d,V1,171,171,28,28,1000003,EMPTY,18.37
4470c68c7758,V0,144,72,75,17,999983,EMPTY,66.79
4470c68c7758,V0,144,72,75,17,1000003,EMPTY,61.69
4470c68c7758,V1,144,72,79,21,999983,TIMEOUT,600.1
4470c68c7758,V1,144,72,79,21,1000003,TIMEOUT,600.1
97455928a391,V0,133,19,120,4,999983,TIMEOUT,600.09
97455928a391,V0,133,19,120,4,1000003,TIMEOUT,600.07
