hash,p,nP,nQ,n,max_total_degree,method,n_enum,verdict,count,truncated,n_degenerate,n_nondegenerate,n_sampled,n_verify_fail,tear_nonempty,tear_empty,tear_other,wall_s,note
f4c533396b1c,2,5,6,11,153,exhaustive-bilinear,16,EMPTY,0,False,,,,,,,,0.0,
f4c533396b1c,3,5,6,11,153,exhaustive-bilinear,81,NONEMPTY,6,False,2,4,4,0,0,0,4,0.06,
2e4c72090e2e,2,6,6,12,153,exhaustive-bilinear,32,NONEMPTY,44,False,2,42,8,0,0,0,8,0.01,
2e4c72090e2e,3,6,6,12,153,exhaustive-bilinear,243,NONEMPTY,70,False,6,64,8,0,0,0,8,0.06,
cf4ee5f59b92,2,6,6,12,153,exhaustive-bilinear,32,NONEMPTY,16,False,1,15,8,0,0,0,8,0.03,
cf4ee5f59b92,3,6,6,12,153,exhaustive-bilinear,243,NONEMPTY,10,False,6,4,4,0,0,0,4,0.11,
d42d069ab871,2,6,7,13,147,exhaustive-bilinear,32,NONEMPTY,28,False,0,28,8,0,0,0,8,0.01,
d42d069ab871,3,6,7,13,147,exhaustive-bilinear,243,EMPTY,0,False,,,,,,,,0.01,
71ac15ff1c37,2,6,6,12,148,exhaustive-bilinear,32,NONEMPTY,32,False,1,31,8,0,0,0,8,0.02,
71ac15ff1c37,3,6,6,12,148,exhaustive-bilinear,243,NONEMPTY,18,False,2,16,8,0,0,0,8,0.06,
42b4233a6437,2,8,5,13,154,exhaustive-bilinear,16,NONEMPTY,16,False,2,14,8,0,0,0,8,0.01,
42b4233a6437,3,8,5,13,154,exhaustive-bilinear,81,NONEMPTY,486,False,2,484,8,0,0,0,8,0.14,
e66454742942,2,7,6,13,138,exhaustive-bilinear,32,NONEMPTY,24,False,1,23,8,0,0,0,8,0.01,
e66454742942,3,7,6,13,138,exhaustive-bilinear,243,NONEMPTY,6,False,6,0,0,0,0,0,0,0.03,
56b7dae5d4ab,2,5,5,10,156,exhaustive-bilinear,16,EMPTY,0,False,,,,,,,,0.0,
56b7dae5d4ab,3,5,5,10,156,exhaustive-bilinear,81,NONEMPTY,6,False,2,4,4,0,0,0,4,0.01,
b42e4046989d,2,6,8,14,157,exhaustive-bilinear,32,NONEMPTY,12,False,4,8,8,0,0,0,8,0.01,
b42e4046989d,3,6,8,14,157,exhaustive-bilinear,243,EMPTY,0,False,,,,,,,,0.01,
fd12cbe4b429,2,6,5,11,148,exhaustive-bilinear,16,EMPTY,0,False,,,,,,,,0.0,
fd12cbe4b429,3,6,5,11,148,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
0d4f9a0d7f81,2,6,5,11,148,exhaustive-bilinear,16,NONEMPTY,4,False,2,2,2,0,0,0,2,0.0,
0d4f9a0d7f81,3,6,5,11,148,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
492665aa006d,2,8,6,14,146,exhaustive-bilinear,32,NONEMPTY,64,False,12,52,8,0,0,0,8,0.01,
492665aa006d,3,8,6,14,146,exhaustive-bilinear,243,NONEMPTY,18,False,0,18,8,0,0,0,8,0.03,
77aa218f7917,2,6,8,14,154,exhaustive-bilinear,32,NONEMPTY,256,False,8,248,8,0,0,0,8,0.02,
77aa218f7917,3,6,8,14,154,exhaustive-bilinear,243,NONEMPTY,54,False,18,36,8,0,0,0,8,0.07,
c7ba7509d0b2,2,7,5,12,159,exhaustive-bilinear,16,NONEMPTY,4,False,1,3,3,0,0,0,3,0.0,
