hash,p,family,exact_count,enumerated,truncated,n_degenerate,n_nondegenerate,n_sampled,n_verify_fail,tear_nonempty,tear_empty,tear_other,climb_p2,climb_p3,wall_s
2233714736b1,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.164
2502b9e73234,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.272
252ffcaec0dc,3,F1,18,18,False,2,16,8,0,6,2,0,0,0,1.465
256160fa7869,3,F1,18,18,False,2,16,8,0,2,6,0,0,0,0.264
259628a82525,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.085
2b796756e70e,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.028
2d2aa5cc2c2b,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.291
2fe25ce97e16,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.286
3466651b7933,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.17
36b363c5d338,3,F1,54,54,False,2,52,8,0,6,2,0,0,0,1.576
3701df70a4c6,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.164
37d026a3f454,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.28
3a462f086bc8,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.028
3c83b2249e9e,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.031
3ff4a5cfa03a,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.034
45524bbafcf3,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.279
4c3477e661c3,3,F1,18,18,False,2,16,8,0,6,2,0,0,0,1.403
62ae252462a0,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.165
657d5fa4674b,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.288
6779fa13c73b,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.033
7e0198822fc7,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.155
7e4796f4c566,3,F1,18,18,False,2,16,8,0,2,6,0,0,0,0.263
834c9fbb2cb6,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.031
8901d655197b,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.266
890d624fc092,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.083
8f226eff8ce2,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.154
95c7504f17ba,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.152
98a344a40c46,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.263
9c000ef06185,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.03
a38c29f79dc6,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.102
a8d22115f3ba,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.16
ac113201632b,3,F1,18,18,False,2,16,8,0,2,6,0,0,0,0.254
b645ef7c7799,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.271
c4e04f0b8458,3,F1,54,54,False,2,52,8,0,2,6,0,0,0,0.254
c6800554d84e,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.029
cde9bae36ca2,3,F1,6,6,False,2,4,4,0,4,0,0,0,0,0.03
