hash,p,origin,nP,nQ,n,method,n_enum,verdict,count,enumerated,truncated,n_degenerate,n_nondegenerate,n_sampled,n_verify_fail,tear_nonempty,tear_empty,tear_other,climb_p2,climb_p3,wall_s,note
3ee4c514dba8,2,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,32,NONEMPTY,14,14,False,1,13,8,0,0,8,0,1,0,0.02,
3ee4c514dba8,3,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,243,NONEMPTY,18,18,False,6,12,8,0,0,8,0,3,0,0.04,
3ee4c514dba8,5,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,3125,EMPTY,0,,False,,,,,,,,,,0.3,
3ee4c514dba8,7,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,16807,EMPTY,0,,False,,,,,,,,,,0.93,
3ee4c514dba8,11,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,161051,EMPTY,0,,False,,,,,,,,,,5.17,
3ee4c514dba8,13,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,371293,EMPTY,0,,False,,,,,,,,,,11.98,
3ee4c514dba8,17,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,1419857,EMPTY,0,,False,,,,,,,,,,43.24,
3ee4c514dba8,19,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,2476099,EMPTY,0,,False,,,,,,,,,,79.43,
3ee4c514dba8,23,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,6436343,EMPTY,0,,False,,,,,,,,,,227.77,
c764f008a1a1,2,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,32,NONEMPTY,16,16,False,2,14,8,0,5,3,0,2,0,0.19,
c764f008a1a1,3,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,243,NONEMPTY,22,22,False,6,16,8,0,4,4,0,2,0,0.18,
c764f008a1a1,5,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,3125,EMPTY,0,,False,,,,,,,,,,0.07,
c764f008a1a1,7,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,16807,EMPTY,0,,False,,,,,,,,,,0.49,
c764f008a1a1,11,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,161051,EMPTY,0,,False,,,,,,,,,,4.04,
c764f008a1a1,13,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,371293,EMPTY,0,,False,,,,,,,,,,10.17,
c764f008a1a1,17,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,1419857,EMPTY,0,,False,,,,,,,,,,33.78,
c764f008a1a1,19,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,2476099,EMPTY,0,,False,,,,,,,,,,53.76,
c764f008a1a1,23,climber-to-Z/p^2,6,6,12,exhaustive-bilinear,6436343,EMPTY,0,,False,,,,,,,,,,143.18,
cf8c7ed97c0c,2,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,8,NONEMPTY,2,2,False,0,2,2,0,0,2,0,1,0,0.01,
cf8c7ed97c0c,3,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,27,NONEMPTY,18,18,False,0,18,8,0,3,5,0,1,0,0.01,
cf8c7ed97c0c,5,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,125,EMPTY,0,,False,,,,,,,,,,0.0,
cf8c7ed97c0c,7,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,343,EMPTY,0,,False,,,,,,,,,,0.01,
cf8c7ed97c0c,11,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,1331,EMPTY,0,,False,,,,,,,,,,0.02,
cf8c7ed97c0c,13,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,2197,EMPTY,0,,False,,,,,,,,,,0.04,
cf8c7ed97c0c,17,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,4913,EMPTY,0,,False,,,,,,,,,,0.09,
cf8c7ed97c0c,19,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,6859,EMPTY,0,,False,,,,,,,,,,0.14,
cf8c7ed97c0c,23,climber-to-Z/p^2,7,4,11,exhaustive-bilinear,12167,EMPTY,0,,False,,,,,,,,,,0.26,
e3ff048903ae,2,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,32,NONEMPTY,10,10,False,1,9,8,0,5,3,0,0,0,0.11,
e3ff048903ae,3,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,243,EMPTY,0,,False,,,,,,,,,,0.01,
e3ff048903ae,5,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,3125,NONEMPTY,20,20,False,0,20,8,0,0,8,0,2,0,0.29,
e3ff048903ae,7,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,16807,EMPTY,0,,False,,,,,,,,,,0.87,
e3ff048903ae,11,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,161051,EMPTY,0,,False,,,,,,,,,,6.25,
e3ff048903ae,13,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,371293,EMPTY,0,,False,,,,,,,,,,14.57,
e3ff048903ae,17,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,1419857,EMPTY,0,,False,,,,,,,,,,59.68,
e3ff048903ae,19,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,2476099,EMPTY,0,,False,,,,,,,,,,92.08,
e3ff048903ae,23,climber-to-Z/p^2,7,6,13,exhaustive-bilinear,6436343,EMPTY,0,,False,,,,,,,,,,212.9,
4ed4abb6f5df,2,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,8,NONEMPTY,4,4,False,2,2,2,0,0,2,0,0,0,0.0,
4ed4abb6f5df,3,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,27,NONEMPTY,18,18,False,6,12,8,0,3,5,0,0,0,0.01,
4ed4abb6f5df,5,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,125,EMPTY,0,,False,,,,,,,,,,0.0,
4ed4abb6f5df,7,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,343,EMPTY,0,,False,,,,,,,,,,0.0,
4ed4abb6f5df,11,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,1331,EMPTY,0,,False,,,,,,,,,,0.01,
4ed4abb6f5df,13,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,2197,EMPTY,0,,False,,,,,,,,,,0.01,
4ed4abb6f5df,17,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,4913,EMPTY,0,,False,,,,,,,,,,0.02,
4ed4abb6f5df,19,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,6859,EMPTY,0,,False,,,,,,,,,,0.03,
4ed4abb6f5df,23,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,12167,EMPTY,0,,False,,,,,,,,,,0.05,
9fad1aac9556,2,TEAR-NONEMPTY-nondegenerate,4,4,8,exhaustive-bilinear,8,NONEMPTY,3,3,False,0,3,3,0,1,2,0,1,1,0.0,
