3ee4c514dba8 p=2   exhaustive-bilinear  NONEMPTY  cnt=14       nondeg=13     tearNE=0   c2=1   0.0s
3ee4c514dba8 p=3   exhaustive-bilinear  NONEMPTY  cnt=18       nondeg=12     tearNE=0   c2=3   0.0s
3ee4c514dba8 p=5   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.3s
3ee4c514dba8 p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.9s
3ee4c514dba8 p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    5.2s
3ee4c514dba8 p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    12.0s
3ee4c514dba8 p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    43.2s
3ee4c514dba8 p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    79.4s
3ee4c514dba8 p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    227.8s
c764f008a1a1 p=2   exhaustive-bilinear  NONEMPTY  cnt=16       nondeg=14     tearNE=5   c2=2   0.2s
c764f008a1a1 p=3   exhaustive-bilinear  NONEMPTY  cnt=22       nondeg=16     tearNE=4   c2=2   0.2s
c764f008a1a1 p=5   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
c764f008a1a1 p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.5s
c764f008a1a1 p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    4.0s
c764f008a1a1 p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    10.2s
c764f008a1a1 p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    33.8s
c764f008a1a1 p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    53.8s
c764f008a1a1 p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    143.2s
cf8c7ed97c0c p=2   exhaustive-bilinear  NONEMPTY  cnt=2        nondeg=2      tearNE=0   c2=1   0.0s
cf8c7ed97c0c p=3   exhaustive-bilinear  NONEMPTY  cnt=18       nondeg=18     tearNE=3   c2=1   0.0s
cf8c7ed97c0c p=5   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
cf8c7ed97c0c p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
cf8c7ed97c0c p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
cf8c7ed97c0c p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
cf8c7ed97c0c p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
cf8c7ed97c0c p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
cf8c7ed97c0c p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.3s
e3ff048903ae p=2   exhaustive-bilinear  NONEMPTY  cnt=10       nondeg=9      tearNE=5   c2=0   0.1s
e3ff048903ae p=3   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
e3ff048903ae p=5   exhaustive-bilinear  NONEMPTY  cnt=20       nondeg=20     tearNE=0   c2=2   0.3s
e3ff048903ae p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.9s
e3ff048903ae p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    6.2s
e3ff048903ae p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    14.6s
e3ff048903ae p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    59.7s
e3ff048903ae p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    92.1s
e3ff048903ae p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    212.9s
4ed4abb6f5df p=2   exhaustive-bilinear  NONEMPTY  cnt=4        nondeg=2      tearNE=0   c2=0   0.0s
4ed4abb6f5df p=3   exhaustive-bilinear  NONEMPTY  cnt=18       nondeg=12     tearNE=3   c2=0   0.0s
4ed4abb6f5df p=5   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
4ed4abb6f5df p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
4ed4abb6f5df p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
4ed4abb6f5df p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
4ed4abb6f5df p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
4ed4abb6f5df p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
4ed4abb6f5df p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
9fad1aac9556 p=2   exhaustive-bilinear  NONEMPTY  cnt=3        nondeg=3      tearNE=1   c2=1   0.0s
9fad1aac9556 p=3   exhaustive-bilinear  NONEMPTY  cnt=6        nondeg=4      tearNE=2   c2=0   0.1s
9fad1aac9556 p=5   exhaustive-bilinear  NONEMPTY  cnt=20       nondeg=20     tearNE=1   c2=0   0.1s
9fad1aac9556 p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
9fad1aac9556 p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
9fad1aac9556 p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
9fad1aac9556 p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
9fad1aac9556 p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
9fad1aac9556 p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
1c4afff29879 p=2   exhaustive-bilinear  NONEMPTY  cnt=8        nondeg=7      tearNE=6   c2=0   0.0s
1c4afff29879 p=3   exhaustive-bilinear  NONEMPTY  cnt=6        nondeg=4      tearNE=4   c2=0   0.0s
1c4afff29879 p=5   exhaustive-bilinear  NONEMPTY  cnt=4        nondeg=0      tearNE=0   c2=0   0.0s
1c4afff29879 p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
1c4afff29879 p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
1c4afff29879 p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
1c4afff29879 p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
1c4afff29879 p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
1c4afff29879 p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
184a36732588 p=2   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
184a36732588 p=3   exhaustive-bilinear  NONEMPTY  cnt=6        nondeg=4      tearNE=4   c2=0   0.1s
184a36732588 p=5   exhaustive-bilinear  NONEMPTY  cnt=4        nondeg=0      tearNE=0   c2=0   0.0s
184a36732588 p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
184a36732588 p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
184a36732588 p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
184a36732588 p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
184a36732588 p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
184a36732588 p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
2b796756e70e p=2   exhaustive-bilinear  NONEMPTY  cnt=8        nondeg=7      tearNE=4   c2=1   0.0s
2b796756e70e p=3   exhaustive-bilinear  NONEMPTY  cnt=6        nondeg=4      tearNE=4   c2=0   0.0s
2b796756e70e p=5   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
2b796756e70e p=7   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
2b796756e70e p=11  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
2b796756e70e p=13  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
2b796756e70e p=17  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
2b796756e70e p=19  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
2b796756e70e p=23  exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.1s
252ffcaec0dc p=2   exhaustive-bilinear  NONEMPTY  cnt=4        nondeg=3      tearNE=1   c2=0   0.0s
252ffcaec0dc p=3   exhaustive-bilinear  NONEMPTY  cnt=18       nondeg=16     tearNE=6   c2=0   1.4s
252ffcaec0dc p=5   exhaustive-bilinear  EMPTY     cnt=0        nondeg=       tearNE=    c2=    0.0s
