(v,w)=(3827,1920) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(8491,9567) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(8089,5426) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(9283,656) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(5282,6862) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(4011,375) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(9760,4544) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(5565,942) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(8766,8081) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(3074,3835) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(409,432) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(7817,1328) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2221,6760) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(4155,3835) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(7052,4349) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2523,9916) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(1608,5148) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(9060,5370) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(7917,1661) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2690,3886) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(5146,6772) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2598,7629) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(313,744) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(8933,3757) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(7761,9160) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(4690,1769) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(6574,1964) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2579,6570) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(275,1423) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(1384,845) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(8452,7676) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(4348,893) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2067,8224) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2107,3357) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(556,2765) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(6986,5775) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(916,227) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(4700,8805) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(2083,7028) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
(v,w)=(7436,9110) mod 10007: obstruction degs [108, 113, 118, 123], gcd_u deg 0
SLICES-DONE
